beta,gamma
0.288856,0.048592
0.282423,0.054387
0.244312,0.023552
0.332721,0.042459
0.246158,0.053812
0.277924,0.020007
0.303103,0.039095
0.213539,0.044120
0.245809,0.028306
0.180141,0.027753
0.261880,0.028217
0.139622,0.027747
0.189651,0.024446
0.225286,0.047151
0.156040,0.025034
0.228015,0.017218
0.162148,0.043323
0.316782,0.019732
0.326923,0.025624
0.142948,0.023949
0.261750,0.032441
0.293880,0.036123
0.220149,0.041408
0.149480,0.034671
0.231784,0.019776
0.204490,0.032075
0.251869,0.016815
0.200095,0.069778
0.251572,0.043765
0.201176,0.029362
0.236677,0.051386
0.234074,0.024582
0.208492,0.022313
0.296964,0.037695
0.215448,0.050268
0.224178,0.028446
0.163224,0.025293
0.166897,0.020954
0.228208,0.031725
0.216073,0.020213
0.201647,0.017220
0.311380,0.028695
0.276035,0.017722
0.201602,0.051084
0.323044,0.034639
0.314168,0.037955
0.251733,0.054411
0.160932,0.026096
0.304379,0.028139
0.217870,0.023844
0.145282,0.032959
0.196020,0.045956
0.258195,0.062430
0.151394,0.024489
0.276299,0.038347
0.235950,0.046293
0.253941,0.020560
0.181286,0.041181
0.256930,0.029433
0.209156,0.015357
0.344033,0.037253
0.199050,0.044725
0.202572,0.066640
0.182769,0.045749
0.248527,0.019171
0.236623,0.063194
0.231367,0.048657
0.191080,0.037745
0.309491,0.032702
0.206512,0.045283
0.174848,0.023325
0.341333,0.021543
0.190102,0.045401
0.285435,0.023467
0.196397,0.016812
0.215664,0.017755
0.212904,0.054089
0.257328,0.021191
0.274766,0.036932
0.268181,0.046563
0.164341,0.018623
0.183472,0.021656
0.187009,0.033910
0.209552,0.066255
0.338616,0.031563
0.179580,0.028229
0.266669,0.018717
0.172128,0.033621
0.196208,0.040527
0.275075,0.043157
0.267185,0.038012
0.197608,0.060840
0.217284,0.052063
0.192638,0.057153
0.295091,0.038179
0.151658,0.030507
0.211907,0.033429
0.218150,0.033308
0.146652,0.046233
0.181948,0.018603
0.209781,0.024514
0.219286,0.028827
0.236800,0.017230
0.249446,0.060278
0.257655,0.030070
0.141893,0.023924
0.213318,0.019487
0.227967,0.033779
0.187855,0.020864
0.209788,0.055822
0.265643,0.019221
0.208230,0.040441
0.288301,0.026343
0.162518,0.039340
0.226671,0.046666
0.171366,0.031918
0.206288,0.037539
0.269660,0.033220
0.241943,0.024160
0.203074,0.030476
0.189751,0.031807
0.272503,0.042204
0.253866,0.043706
0.168438,0.026661
0.198109,0.017016
0.256609,0.024616
