beta,gamma
0.103249,0.019891
0.183850,0.012653
0.179251,0.000124
0.054629,0.000327
0.014485,0.000127
0.031023,0.000118
0.024013,0.000162
0.010990,0.000856
0.090566,0.025085
0.117510,0.004470
0.256072,0.003150
0.173531,0.005646
0.220468,0.001173
0.195476,0.059704
0.403815,0.162222
0.284907,0.000539
0.046806,0.001289
0.083040,0.000157
0.100075,0.017612
0.057962,0.000007
0.043667,0.001592
0.131760,0.004849
0.087553,0.001911
0.182211,0.010551
0.095196,0.000004
0.032351,0.000880
0.119284,0.000135
0.018604,0.005023
0.143591,0.046407
0.014496,0.003013
0.025751,0.003120
0.018119,0.007325
0.111669,0.000024
0.052287,0.000084
0.028864,0.009632
0.156255,0.053542
0.131452,0.004904
0.089262,0.000863
0.036488,0.000184
0.175911,0.000062
0.167518,0.000043
0.012472,0.000025
0.056779,0.000006
0.088362,0.000004
0.081667,0.000943
0.035381,0.000804
0.067754,0.000718
0.239603,0.009396
0.263061,0.021250
0.086374,0.006780
0.299810,0.306880
0.053174,0.003299
0.081165,0.017790
0.356269,0.002666
0.219783,0.000921
0.128785,0.002075
0.092907,0.000252
0.018513,0.000231
0.249110,0.000207
0.147423,0.002174
0.016988,0.003076
0.058142,0.000011
0.099532,0.003889
0.357818,0.000112
0.177888,0.001801
0.253839,0.011490
0.106448,0.033703
0.075030,0.000014
0.231392,0.000127
0.059715,0.000024
0.009986,0.002139
0.095058,0.000961
0.043662,0.001105
0.022578,0.000088
0.011662,0.000151
0.124769,0.000368
0.046232,0.003634
0.199478,0.016446
0.058619,0.045070
0.118616,0.001395
0.340762,0.002038
0.245488,0.171925
0.070589,0.000548
0.222938,0.000095
0.028092,0.000071
0.101706,0.002755
0.084981,0.000039
0.050271,0.007107
0.018119,0.001793
0.073246,0.000012
0.097686,0.000211
0.191013,0.000166
0.275560,0.000224
0.036972,0.000061
0.076000,0.000943
0.032754,0.003279
0.239309,0.001378
0.042405,0.013072
0.034241,0.000172
0.053782,0.005324
0.021554,0.000853
0.029942,0.000043
0.032903,0.006205
0.060302,0.002459
0.066826,0.038994
0.358583,0.000584
0.085020,0.017950
0.079515,0.000509
0.114196,0.000015
0.503397,0.004650
0.080469,0.035035
0.024530,0.004013
0.018160,0.000160
0.129810,0.001221
0.182242,0.139306
0.426259,0.000171
0.054197,0.004735
0.053876,0.000009
0.171318,0.090367
0.072596,0.022767
0.063854,0.005458
0.022228,0.001737
0.062949,0.000505
0.098513,0.000187
0.141111,0.040670
0.135483,0.000162
0.038363,0.000845
0.098836,0.001865
0.068352,0.000007
0.134392,0.003403
0.130489,0.000276
0.337189,0.001348
0.044208,0.000021
0.009763,0.000480
0.059686,0.010199
0.157633,0.133559
0.140409,0.000072
0.124871,0.000195
0.053923,0.011881
0.025584,0.000027
0.012884,0.002078
0.119968,0.000882
0.042461,0.029256
0.119762,0.004770
0.011634,0.002541
0.054704,0.000113
0.046019,0.024582
0.049514,0.000052
0.055756,0.015661
0.049438,0.000704
0.139061,0.000067
0.088580,0.000162
0.043102,0.000019
0.113829,0.000045
0.248379,0.029145
0.408937,0.145185
0.024778,0.000283
0.187949,0.000098
0.035141,0.003166
0.024007,0.000226
0.021304,0.000015
0.286286,0.010994
0.039693,0.000029
0.106945,0.000230
0.193096,0.011902
0.037418,0.000376
