beta,gamma
0.041135,0.004683
0.114293,0.001861
0.078419,0.041621
0.834378,0.019210
0.314661,0.055610
0.149522,0.005768
0.058820,0.035891
0.756690,0.003061
0.089108,0.001197
0.086429,0.000987
0.061316,0.006352
0.143071,0.007560
0.087100,0.008131
0.669739,0.004880
0.021074,0.002847
0.453633,0.013585
0.495857,0.005082
0.272258,0.056199
0.063824,0.030277
0.152698,0.054983
0.616840,0.001062
0.327987,0.006067
0.047040,0.006945
0.556685,0.006904
0.249772,0.031651
0.078815,0.006605
0.148301,0.049521
0.495253,0.227448
0.293467,0.002381
0.241759,0.099852
0.384435,0.033186
0.043593,0.007389
0.201575,0.176534
0.254406,0.002763
0.373734,0.280885
0.329672,0.001654
0.105158,0.006145
0.154458,0.003139
0.333959,0.118742
0.079319,0.007527
0.018254,0.005040
0.189027,0.001624
0.209049,0.030784
0.514976,0.001168
0.359736,0.071136
0.099402,0.009530
0.182264,0.065362
0.158009,0.002453
0.346124,0.006563
0.116498,0.003957
0.095221,0.047327
0.268435,0.011985
0.340790,0.004367
0.274131,0.005016
0.501512,0.011792
0.111720,0.037913
0.625822,0.019487
0.019254,0.003163
0.204245,0.006392
0.104282,0.001963
0.050873,0.001776
0.059771,0.030144
0.031270,0.014326
0.398769,0.002256
0.738651,0.012725
0.238909,0.129528
0.318423,0.003853
0.221697,0.046186
0.106388,0.001044
0.103321,0.002465
0.090812,0.001708
0.170948,0.006655
0.022115,0.009734
0.446263,0.070109
0.045130,0.001205
0.131035,0.002298
0.550982,0.264543
0.219263,0.001781
0.276735,0.047966
0.544197,0.007909
0.383859,0.009954
0.105060,0.033115
0.151580,0.004650
0.090647,0.012461
0.285512,0.054074
0.070810,0.003391
0.239488,0.124941
0.293225,0.009477
0.732587,0.007444
0.252694,0.004126
0.154682,0.011151
1.461404,0.014290
0.084127,0.001856
0.367435,0.001136
0.403985,0.004874
0.219063,0.002042
0.500006,0.208786
0.072270,0.001622
0.064456,0.025449
0.473230,0.001228
0.074092,0.016818
0.392805,0.302072
0.342322,0.032390
0.274703,0.002414
0.466946,0.390057
0.526153,0.017377
0.793701,0.028913
0.701382,0.025751
0.142200,0.069597
0.069311,0.034755
0.347030,0.013809
0.173278,0.098457
0.158742,0.073467
0.258892,0.097041
0.368799,0.166993
0.104495,0.024694
0.521842,0.001449
0.412859,0.006927
0.067768,0.002121
0.193871,0.134039
0.228700,0.190062
0.091181,0.003082
0.255709,0.002580
0.515525,0.166113
0.395411,0.266027
0.349634,0.001484
0.125500,0.021709
0.625793,0.022035
0.193613,0.001444
0.045765,0.018319
0.203294,0.042225
0.113191,0.007441
0.069143,0.014017
0.119909,0.002099
0.090218,0.009736
0.121673,0.001048
0.190696,0.127593
0.235747,0.159839
0.207144,0.152642
0.219592,0.005686
0.176351,0.020307
0.060454,0.028124
0.522655,0.014418
0.222299,0.012471
0.395139,0.001102
0.061759,0.001659
0.154299,0.061555
0.376620,0.002259
0.291127,0.005366
0.520930,0.004979
0.227965,0.020473
0.126046,0.027936
0.391669,0.001097
0.302777,0.014914
0.079406,0.001293
0.173979,0.009223
0.109901,0.068977
1.090616,0.189683
0.316704,0.079505
0.221154,0.001679
0.060851,0.026648
0.126834,0.002045
0.029482,0.005207
0.258708,0.015199
0.308737,0.007786
0.144020,0.058487
0.346572,0.001004
0.295315,0.004181
0.289539,0.205082
0.086771,0.001272
0.328582,0.002770
0.336296,0.003813
0.397416,0.001967
0.436238,0.001204
0.388905,0.030932
0.039247,0.003013
0.066006,0.020068
0.120979,0.006705
0.371392,0.001989
0.166279,0.049848
0.045065,0.010890
0.485487,0.229354
0.286282,0.008625
0.098930,0.028797
0.034721,0.001854
0.480236,0.001017
0.112534,0.003867
0.349400,0.000828
0.218355,0.001314
0.453215,0.001182
0.197889,0.001054
0.049280,0.001239
0.164482,0.001269
0.082355,0.013389
0.264481,0.020066
0.174537,0.001006
0.189224,0.003606
0.077728,0.000872
0.092357,0.005876
0.542703,0.001177
0.033191,0.018862
0.181231,0.001737
0.244401,0.021933
0.129124,0.002665
0.220033,0.002736
0.040873,0.010548
0.133507,0.047055
0.240707,0.041694
0.158772,0.010389
0.120988,0.067901
0.071795,0.013915
0.092553,0.001506
0.176583,0.003330
0.105415,0.058388
0.070978,0.002680
0.078802,0.003455
0.082748,0.059936
0.046892,0.014611
0.157446,0.007207
0.211370,0.123751
0.655234,0.045937
0.211493,0.164010
0.102776,0.002465
0.255184,0.001832
0.133941,0.022641
0.117461,0.002673
0.543072,0.002310
0.138746,0.124116
0.309045,0.009715
0.336266,0.016756
0.438844,0.014979
0.131280,0.002159
0.287830,0.003047
0.176497,0.070423
0.207341,0.001098
0.473175,0.057958
0.134260,0.040659
0.127475,0.001333
0.071536,0.003175
0.482950,0.055947
0.088284,0.001121
0.077908,0.009956
0.188299,0.014966
0.108516,0.081993
0.219068,0.090434
0.107869,0.043354
0.258125,0.002571
0.360693,0.001791
0.845367,0.002954
0.628212,0.001970
0.137145,0.001298
0.057350,0.001329
0.110659,0.028962
0.038757,0.007068
0.134844,0.002769
0.044356,0.002768
0.254527,0.008273
0.481884,0.089646
0.185873,0.000861
0.335731,0.029413
0.106257,0.001243
0.117830,0.033123
0.192564,0.028318
0.487527,0.416655
0.046332,0.019351
0.307087,0.002894
0.484684,0.001621
0.058651,0.008388
0.323316,0.009713
0.342348,0.002785
0.399472,0.187745
0.465716,0.206034
0.067460,0.021005
0.098880,0.007840
0.538928,0.489518
0.091494,0.000940
0.051583,0.015686
0.112364,0.004569
0.321727,0.012432
0.039689,0.008337
0.150594,0.008225
0.269310,0.002002
0.071017,0.002100
0.325329,0.001702
0.232904,0.133204
0.252818,0.182036
0.212783,0.001533
0.053892,0.008757
0.473579,0.049764
0.483329,0.418985
0.194098,0.012566
0.155568,0.027206
0.401703,0.000934
0.368539,0.152773
0.281209,0.017098
0.255752,0.019575
1.360159,0.005691
0.065086,0.030843
0.097369,0.004152
0.174162,0.080921
0.682875,0.604055
0.083695,0.009311
0.228159,0.005531
0.325824,0.001626
0.247889,0.037715
0.332168,0.017717
0.302819,0.175956
0.383943,0.020194
0.303202,0.008198
0.144102,0.005386
0.482788,0.006738
0.286821,0.066309
0.962694,0.027137
0.655696,0.001155
0.271385,0.053398
0.149801,0.033082
0.290287,0.048893
0.207457,0.041515
0.256784,0.001462
0.070709,0.019770
0.147513,0.001222
0.340259,0.007273
0.291373,0.025833
0.173889,0.003613
0.255598,0.006298
0.679323,0.044947
0.181367,0.013081
0.188476,0.041533
0.253213,0.001015
0.114281,0.041798
0.056878,0.001315
0.162103,0.056606
0.218244,0.050353
0.322770,0.083234
0.198382,0.000827
0.058838,0.008237
0.096780,0.002087
0.243681,0.004642
0.400942,0.208425
0.084582,0.003607
0.129195,0.006520
0.593871,0.139106
0.249626,0.005685
0.355172,0.006657
0.097524,0.005833
0.309548,0.001150
0.062303,0.001867
0.121491,0.058241
0.044000,0.005620
0.532308,0.007966
0.071320,0.004533
0.039339,0.028486
0.194225,0.001315
0.103680,0.005101
0.082171,0.031764
0.240224,0.006234
0.444019,0.007604
0.118448,0.099475
0.114347,0.008386
0.238258,0.023048
1.120538,0.045214
0.171512,0.000884
0.210283,0.003269
