beta,gamma
0.380683,0.154975
0.203763,0.019255
0.272200,0.009617
0.076893,0.017482
0.353802,0.009997
0.410657,0.093562
0.317838,0.030187
0.530742,0.011261
0.789258,0.060236
0.141581,0.008746
0.131159,0.016834
0.322155,0.028618
0.147997,0.021002
0.579140,0.196082
0.847320,0.252919
0.483420,0.007464
0.220233,0.017577
0.537447,0.123990
0.571898,0.116458
0.519457,0.042371
0.083137,0.017190
0.707798,0.239281
0.280714,0.008626
0.240594,0.011019
0.089010,0.009310
0.129045,0.018153
0.458078,0.007708
0.545433,0.012195
0.257991,0.019966
0.363194,0.044537
0.341013,0.135234
0.146757,0.041335
0.193435,0.010582
0.170430,0.010672
0.288090,0.036045
0.800245,0.014020
0.273348,0.034032
0.533455,0.025277
0.400653,0.008232
0.517138,0.020220
0.115992,0.011230
0.101994,0.028628
0.102349,0.011832
0.200143,0.055042
0.186525,0.023980
0.220714,0.038942
0.307309,0.044735
0.178110,0.038991
0.120177,0.053109
0.696231,0.260927
0.545642,0.257252
0.088262,0.017551
0.729027,0.060545
0.121277,0.054088
0.283194,0.011576
0.212619,0.066171
0.862959,0.046780
0.609230,0.024130
0.250477,0.022849
0.609151,0.008483
0.174842,0.023998
0.159945,0.023885
0.534741,0.040467
0.114013,0.043901
0.290081,0.014068
0.090147,0.011127
0.992396,0.222614
0.494611,0.014247
0.213600,0.007875
0.285069,0.025355
0.171519,0.046419
0.170176,0.075835
0.136908,0.018402
0.617830,0.234503
0.092865,0.035531
0.464022,0.026705
0.795770,0.133982
0.093971,0.010677
0.356420,0.038635
0.241833,0.047322
0.147956,0.028358
0.523689,0.064846
0.118817,0.022638
0.211505,0.088428
0.232633,0.105911
0.363963,0.010043
0.184232,0.010231
0.260013,0.008411
0.345783,0.078933
0.266848,0.038049
0.352938,0.012188
0.155831,0.037935
0.385238,0.012308
0.142612,0.027939
0.327634,0.080076
0.075048,0.013666
0.202640,0.008981
0.457395,0.021725
0.421660,0.031795
0.257128,0.015740
0.259853,0.081546
0.302190,0.143845
0.468123,0.229415
0.126238,0.011140
0.173567,0.014199
0.209687,0.016382
0.477981,0.013599
0.423490,0.213136
0.587015,0.030106
1.034264,0.030824
0.496677,0.105561
0.221313,0.077901
0.398179,0.021993
0.425946,0.031879
0.324211,0.106188
0.641649,0.040388
0.289529,0.007175
0.526870,0.082349
1.090445,0.532160
0.840942,0.099976
0.090047,0.031253
0.220215,0.013076
0.089257,0.017080
0.118760,0.039410
0.087326,0.014323
0.131165,0.007958
0.321894,0.029379
0.090314,0.022885
0.161596,0.009816
0.189854,0.035004
0.257207,0.027129
0.182270,0.076510
0.165594,0.029831
0.247367,0.044105
0.274915,0.009183
0.326072,0.070522
0.119112,0.051164
0.315046,0.068918
0.129159,0.021335
0.653460,0.024106
0.201087,0.013899
0.230205,0.041158
0.734613,0.171345
0.366812,0.071210
0.501698,0.143545
0.543574,0.023471
0.171079,0.044742
0.311745,0.006942
0.494495,0.088510
0.303837,0.063619
0.231970,0.105865
0.411245,0.050290
0.173838,0.086373
0.386482,0.096484
0.453014,0.010044
0.153530,0.075710
0.595691,0.145877
0.120124,0.041384
0.398368,0.008750
0.684098,0.029270
0.522552,0.025447
0.533243,0.050909
0.197763,0.008273
0.244239,0.025772
0.144893,0.016750
0.105553,0.011862
0.493594,0.084149
0.337283,0.042992
0.300824,0.035369
0.546581,0.018934
0.513149,0.021679
0.283881,0.116218
0.125532,0.009742
0.149831,0.047464
0.239199,0.008778
0.602617,0.029670
0.171534,0.008141
0.353600,0.103986
0.556341,0.043303
0.313406,0.039978
0.092666,0.029183
0.217645,0.061048
0.669072,0.017484
0.206383,0.110696
0.353350,0.065321
0.609731,0.030069
0.330769,0.071414
0.374055,0.071299
0.190936,0.046434
0.311666,0.009810
0.080114,0.014145
0.180436,0.034543
0.288562,0.053422
0.186410,0.042492
0.196215,0.008271
0.226770,0.020901
0.069701,0.017497
0.472963,0.010746
0.445129,0.012498
0.130720,0.029345
0.116524,0.010467
0.386867,0.047782
0.205612,0.023776
0.200048,0.054407
0.103288,0.037581
0.096029,0.030400
0.223269,0.016635
0.188691,0.039968
0.421027,0.009261
0.445093,0.029349
0.253329,0.134344
0.270784,0.117988
0.191547,0.041609
0.365223,0.035242
0.305725,0.053265
0.209884,0.010373
0.390184,0.066958
0.239547,0.061887
1.129974,0.456189
0.231392,0.102025
0.218203,0.018406
0.197365,0.026451
0.111766,0.016632
0.141193,0.015035
0.735159,0.015809
0.140925,0.050183
0.174238,0.012129
0.205311,0.071450
0.146055,0.067687
0.457960,0.073913
1.122714,0.011227
0.397233,0.044739
0.236248,0.009606
0.155559,0.021344
0.250499,0.025335
0.105766,0.019294
0.303550,0.010422
0.213511,0.057383
0.326886,0.014104
0.832643,0.046791
0.194044,0.012460
0.600247,0.008339
0.567792,0.011820
0.083202,0.011208
0.331250,0.166256
0.223149,0.077313
0.338682,0.016594
0.357854,0.017073
0.122394,0.012508
0.461514,0.007487
1.025219,0.078738
0.227525,0.042415
0.489801,0.241944
0.385168,0.076598
0.248432,0.007105
0.145600,0.007016
0.223359,0.056250
0.207876,0.012396
0.179090,0.019091
0.245468,0.084057
0.810003,0.016644
0.173970,0.057170
0.381614,0.030436
0.524426,0.011266
0.259250,0.043749
0.112821,0.030747
0.156491,0.017108
0.519732,0.053599
0.380860,0.007562
0.407946,0.014656
0.315490,0.014883
0.207121,0.010973
0.654632,0.024054
