beta,gamma
0.084490,0.012002
0.116580,0.014569
0.145290,0.010347
0.146242,0.010088
0.100723,0.039882
0.087994,0.030916
0.101025,0.005951
0.052145,0.005974
0.082386,0.018365
0.114361,0.018274
0.083845,0.009694
0.085471,0.019635
0.042880,0.007201
0.065515,0.022262
0.051924,0.007845
0.094782,0.016232
0.166984,0.026038
0.155103,0.005124
0.168182,0.006595
0.234659,0.006174
0.140431,0.032584
0.128471,0.005114
0.067427,0.008674
0.167881,0.010107
0.166962,0.013378
0.177348,0.015106
0.077868,0.017874
0.122604,0.011944
0.172492,0.017694
0.054234,0.013443
0.217144,0.018467
0.186956,0.006610
0.110235,0.008519
0.085287,0.011559
0.101144,0.008345
0.208299,0.005020
0.098873,0.016144
0.079444,0.019728
0.118144,0.048974
0.066269,0.006839
0.085631,0.013806
0.053101,0.006605
0.188447,0.007141
0.131908,0.017078
0.190206,0.020158
0.108118,0.013851
0.110692,0.005905
0.103607,0.020338
0.211112,0.016233
0.115089,0.012898
0.148764,0.012842
0.105946,0.031590
0.064029,0.012030
0.078159,0.005973
0.069699,0.006215
0.154960,0.014260
0.212347,0.012553
0.077173,0.005366
0.251563,0.017356
0.088213,0.006507
0.184521,0.012567
0.137252,0.009022
0.186921,0.013699
0.095750,0.009944
0.126807,0.046313
0.096116,0.007873
0.074944,0.005641
0.099516,0.017789
0.095188,0.006715
0.099649,0.004437
0.083599,0.023340
0.065923,0.005331
0.054516,0.005461
0.131189,0.005187
0.121968,0.013567
0.110491,0.015552
0.236223,0.018279
0.205228,0.004750
0.069739,0.005743
0.147906,0.030122
0.253566,0.013483
0.091681,0.015324
0.095767,0.032556
0.183770,0.017200
0.065844,0.026218
0.052512,0.007940
0.076732,0.004600
0.161941,0.040287
0.091464,0.007354
0.115560,0.005741
0.163626,0.042552
0.132874,0.006493
0.088159,0.022691
0.218913,0.020108
0.071044,0.006309
0.088360,0.025919
0.063043,0.016579
0.277354,0.008585
0.200515,0.005064
0.069671,0.020739
0.128181,0.006281
0.136161,0.007785
0.135258,0.027124
0.312246,0.014069
0.090495,0.024866
0.099277,0.005321
0.143513,0.014337
0.101463,0.008902
0.157297,0.006327
0.079120,0.022958
0.080479,0.007970
0.062639,0.017260
0.107923,0.038499
0.079169,0.008068
0.205610,0.010325
0.128555,0.045740
0.090162,0.012335
0.069076,0.005932
0.175674,0.009013
0.081790,0.005193
0.096793,0.008504
0.070660,0.009930
0.234024,0.011804
0.142736,0.028790
0.110408,0.032878
0.075774,0.017412
0.069106,0.014656
0.083858,0.028681
0.062130,0.009705
0.166875,0.016734
0.217581,0.006512
0.129645,0.008553
0.095531,0.012695
0.159454,0.005421
0.094440,0.012902
0.153544,0.019594
0.105882,0.009264
0.135324,0.004564
0.089938,0.039980
0.225436,0.005540
0.100138,0.031674
0.066149,0.023436
0.261615,0.014947
0.112456,0.041878
0.085330,0.031641
