beta,gamma
0.076307,0.010556
0.090172,0.014553
0.128759,0.010933
0.138288,0.009730
0.111259,0.008358
0.145950,0.009668
0.111763,0.009801
0.133234,0.008718
0.116255,0.008539
0.098952,0.009591
0.082404,0.014072
0.115217,0.008982
0.121677,0.006834
0.079202,0.010742
0.131189,0.008761
0.094144,0.010288
0.087222,0.008151
0.098755,0.015100
0.137061,0.012973
0.147196,0.010299
0.080368,0.012059
0.101351,0.014029
0.111081,0.013821
0.104564,0.008496
0.116459,0.007563
0.157306,0.010628
0.096083,0.007511
0.096798,0.015058
0.077580,0.011715
0.141774,0.008893
0.079754,0.008575
0.124111,0.012286
0.110374,0.013808
0.089869,0.009634
0.098396,0.009827
0.080657,0.012271
0.098920,0.008665
0.105320,0.009485
0.143688,0.011142
0.088868,0.009970
0.126489,0.007314
0.098751,0.007610
0.125514,0.009000
0.134606,0.014101
0.085394,0.008991
0.090341,0.012807
0.143368,0.013107
0.100916,0.012084
0.112234,0.011363
0.105915,0.009556
0.096644,0.014467
0.160122,0.012241
0.095525,0.012741
0.116453,0.008360
0.120226,0.008998
0.138559,0.011518
0.097500,0.011866
0.142733,0.011453
0.099911,0.014751
0.122108,0.006885
0.150120,0.010803
0.112276,0.010123
0.103826,0.014482
0.103539,0.009362
0.127578,0.008637
0.107235,0.010530
0.138479,0.011942
0.112994,0.015546
0.099388,0.009828
0.095380,0.008127
0.104827,0.007918
0.097956,0.010849
0.140966,0.009884
0.108337,0.012965
0.108684,0.009652
0.126024,0.007566
0.116252,0.011358
0.103848,0.014624
0.089256,0.009361
0.084413,0.014927
0.132889,0.008134
0.074126,0.007669
0.083148,0.010130
0.079420,0.010681
0.087566,0.007865
0.127316,0.008750
0.130879,0.009887
0.088270,0.009300
0.096771,0.012717
0.080862,0.007971
0.070103,0.007924
0.129318,0.008506
0.082038,0.009428
0.086828,0.007862
0.080920,0.008172
0.108977,0.009290
0.102964,0.007753
0.114959,0.007745
0.064562,0.008599
0.073720,0.010112
0.118432,0.010349
0.084888,0.008609
0.128700,0.009167
0.086769,0.013725
0.117310,0.011011
0.105937,0.012685
0.084140,0.011644
0.091573,0.015460
0.119124,0.008951
0.140990,0.008254
0.120990,0.008477
0.091410,0.008903
0.123281,0.011871
0.101194,0.010155
0.134612,0.009303
0.093189,0.013332
0.090379,0.012319
0.087839,0.009929
0.125949,0.011329
0.128271,0.012683
0.082581,0.009297
0.092960,0.013054
0.101742,0.009907
0.152483,0.007329
0.086121,0.011064
0.089202,0.014722
0.079717,0.013122
0.120521,0.014918
0.122426,0.013151
0.086114,0.007190
0.103091,0.014727
0.142740,0.010416
0.106523,0.007680
0.112850,0.008719
0.127577,0.007640
0.131522,0.010288
0.084153,0.007450
0.099708,0.009981
0.149979,0.007867
0.105369,0.007771
0.128924,0.010846
0.108559,0.007587
0.108216,0.009456
0.104761,0.012805
0.123743,0.008025
0.116178,0.007999
0.113231,0.007477
0.087729,0.007658
0.087459,0.010812
0.093910,0.009298
0.074854,0.010670
0.086813,0.007116
0.107873,0.014024
0.111846,0.009563
0.113819,0.010430
0.136707,0.007884
0.137688,0.008496
0.154832,0.009317
0.107324,0.014063
0.147703,0.008920
0.120138,0.007775
0.127649,0.013804
0.089650,0.010794
0.079246,0.012173
0.093672,0.012900
0.090661,0.011660
0.119193,0.009017
0.125637,0.007174
0.085377,0.011624
0.093474,0.011363
0.125224,0.008076
0.126266,0.013509
0.106240,0.013008
0.109578,0.007216
0.124623,0.010776
0.145065,0.010912
0.113530,0.014148
0.094086,0.013018
0.110015,0.012194
0.091234,0.010350
0.090758,0.009053
0.117391,0.009886
0.109686,0.007543
0.137297,0.011372
0.111138,0.011708
0.141285,0.012306
0.145066,0.011754
0.131870,0.008392
0.081865,0.008285
0.118936,0.006801
0.085217,0.009051
0.104327,0.012362
0.116056,0.015087
0.117824,0.009229
0.084434,0.008984
0.101371,0.016238
0.099836,0.010306
0.128385,0.012949
0.118924,0.014002
0.105250,0.015210
0.080306,0.009014
0.107480,0.011914
0.118360,0.009118
0.074217,0.012052
0.080806,0.010719
0.131149,0.007978
0.095267,0.009008
0.098116,0.016406
0.135907,0.007737
0.083177,0.015620
0.132578,0.008939
0.112649,0.009157
0.096122,0.008783
0.120652,0.010301
0.103896,0.009251
0.099921,0.010655
0.104065,0.012508
0.121455,0.008703
0.096216,0.008836
0.112987,0.008196
0.100105,0.012454
0.109335,0.008142
0.085993,0.007068
0.147228,0.009264
0.103082,0.009082
0.092576,0.007288
0.141000,0.009959
0.074982,0.007826
0.090743,0.007817
0.132174,0.009938
0.124941,0.013736
0.108057,0.012990
0.099820,0.012019
0.103303,0.014338
0.096363,0.014266
0.081803,0.011053
0.090659,0.009376
0.142730,0.007826
0.118786,0.009033
0.090639,0.011142
0.081738,0.010160
0.110521,0.010817
0.094005,0.013968
0.109123,0.008362
0.115563,0.008861
0.097486,0.012607
0.110627,0.011943
0.107923,0.007550
0.111624,0.007849
0.103029,0.015628
0.114323,0.008054
0.135428,0.011165
0.099462,0.014941
0.155871,0.008755
0.137313,0.009285
0.102003,0.015762
0.077719,0.009231
0.105194,0.010090
0.112590,0.013979
0.096959,0.013141
0.143467,0.013599
0.089177,0.011192
0.121483,0.013116
0.151536,0.008840
0.088886,0.014166
0.144675,0.007751
0.110233,0.014004
0.137801,0.007995
0.098537,0.011857
0.144340,0.012900
0.083643,0.011319
0.126719,0.013938
0.086158,0.010720
0.137682,0.009265
0.110958,0.007858
0.122433,0.010019
0.128087,0.009332
0.116171,0.008906
0.120988,0.012581
0.124309,0.011141
0.105724,0.015387
0.106519,0.010409
0.109456,0.012050
0.101975,0.007404
0.073052,0.009023
0.145407,0.008218
0.094260,0.010937
0.116150,0.011608
0.141611,0.007228
0.119018,0.007221
0.109637,0.011203
0.106161,0.011403
0.111484,0.012329
0.103550,0.008803
0.102219,0.016267
0.128611,0.007098
0.107162,0.007749
0.090293,0.015469
0.111918,0.008980
0.097034,0.008205
0.109999,0.008657
0.109086,0.010105
0.088964,0.009441
0.113793,0.007915
0.080502,0.011621
0.085811,0.012297
0.086572,0.009162
0.089014,0.012403
0.090232,0.011611
0.111572,0.012272
0.093565,0.008172
0.101377,0.009786
0.097088,0.008654
0.129606,0.010079
0.096670,0.008760
0.099658,0.012623
0.087167,0.015074
0.094944,0.013543
0.093816,0.008218
0.123339,0.011525
0.107399,0.010694
0.126124,0.015069
0.105098,0.007375
0.130918,0.007328
0.107933,0.012802
0.101267,0.008932
0.127339,0.008180
0.123780,0.012150
0.085144,0.013594
0.124114,0.011817
0.103628,0.011599
0.120584,0.011523
0.116525,0.011099
0.151376,0.011223
0.119350,0.007977
0.089508,0.012121
0.110602,0.010399
0.119983,0.011907
0.110510,0.007728
0.084402,0.009212
0.103288,0.011855
0.103955,0.008190
0.092234,0.009207
0.097205,0.008063
0.083499,0.011014
0.100706,0.013576
0.079688,0.008937
0.117849,0.011335
0.129013,0.007836
0.096434,0.008166
0.141314,0.007698
0.132997,0.011181
0.112050,0.008733
0.098053,0.015349
0.096973,0.009673
0.123205,0.009798
0.139086,0.010358
0.084528,0.015684
0.128127,0.013919
0.122644,0.008509
0.113025,0.007991
0.121979,0.008659
0.091032,0.009653
0.095948,0.015004
0.098396,0.010825
0.104302,0.008652
0.084049,0.011076
0.122497,0.009372
0.089886,0.009452
0.110989,0.010460
0.090059,0.014435
0.092206,0.016430
0.102362,0.006982
0.098876,0.009118
0.139458,0.010440
0.126940,0.010643
0.101525,0.012229
0.138053,0.009210
0.079558,0.013309
0.106878,0.006959
0.088335,0.013940
0.134732,0.013033
0.087634,0.011896
0.104076,0.012725
0.109197,0.015361
0.099125,0.011368
0.087404,0.011621
0.148826,0.009267
0.093330,0.011143
0.148750,0.011742
0.124421,0.006947
0.139824,0.010721
0.105852,0.011297
0.129103,0.008351
0.117983,0.007811
0.101938,0.013838
0.125522,0.015031
0.125002,0.008231
0.100109,0.007491
0.072864,0.008535
0.126581,0.007552
0.100266,0.015199
0.116091,0.007405
0.127768,0.011205
0.088021,0.011320
0.105549,0.015597
0.108464,0.012798
0.102203,0.014794
0.081554,0.012209
0.096056,0.009662
0.111326,0.013643
0.122402,0.006875
