beta,gamma
0.185340,0.026275
0.239252,0.026921
0.216170,0.024507
0.220203,0.037183
0.175474,0.030294
0.179438,0.029840
0.174936,0.036737
0.190281,0.024526
0.244444,0.035035
0.223564,0.030430
0.215783,0.028708
0.194705,0.024686
0.223819,0.031300
0.225821,0.029334
0.220701,0.029700
0.213710,0.025515
0.275897,0.037191
0.187537,0.030596
0.217270,0.032253
0.203930,0.024062
0.206063,0.025845
0.218049,0.030396
0.218780,0.030436
0.220798,0.023680
0.200504,0.026919
0.213090,0.038717
0.221026,0.027304
0.208359,0.024989
0.209938,0.024895
0.176778,0.028700
0.189426,0.027087
0.205631,0.021404
0.227232,0.023288
0.238804,0.030769
0.249404,0.022014
0.251316,0.031857
0.235535,0.037301
0.255196,0.024985
0.198737,0.036935
0.219739,0.032574
0.173313,0.033451
0.215783,0.038899
0.186694,0.028506
0.247143,0.027927
0.244509,0.033008
0.203428,0.029274
0.252035,0.029412
0.181461,0.026474
0.179523,0.037657
0.240842,0.022189
0.221083,0.030816
0.224328,0.031772
0.172100,0.021446
0.152674,0.034894
0.185185,0.034015
0.219858,0.042724
0.248014,0.034155
0.279973,0.028799
0.175409,0.025210
0.185168,0.040770
0.179726,0.029466
0.161221,0.027416
0.252678,0.035460
0.201581,0.032793
0.204348,0.021858
0.201061,0.028166
0.219282,0.027365
0.257438,0.030407
0.168737,0.025090
0.159088,0.023720
0.216076,0.031095
0.214376,0.026904
0.178795,0.029001
0.179321,0.032298
0.252194,0.026317
0.194321,0.036877
0.194521,0.024399
0.176630,0.037545
0.239096,0.024228
0.216947,0.023356
0.256880,0.024399
0.195423,0.027125
0.224552,0.022959
0.168759,0.028287
0.173562,0.039312
0.207821,0.025523
0.240396,0.022435
0.164171,0.024357
0.161416,0.030455
0.186022,0.028735
0.208907,0.030816
0.234938,0.025163
0.184876,0.029400
0.212845,0.026617
0.242878,0.025415
0.238852,0.032940
0.219443,0.036195
0.247429,0.034415
0.202600,0.033695
0.222134,0.021461
0.247881,0.031740
0.194430,0.021936
0.193559,0.025656
0.182785,0.029836
0.170125,0.029025
0.217248,0.039415
0.188883,0.024039
0.227300,0.026125
0.247554,0.035721
0.223642,0.033634
0.279859,0.032075
0.250958,0.040154
0.173665,0.024789
0.243741,0.022506
0.220206,0.030661
0.240160,0.040675
0.210704,0.033202
0.220667,0.030401
0.206232,0.037736
0.186468,0.022126
0.200159,0.023908
0.214614,0.025023
0.177846,0.037391
0.224687,0.034750
0.196595,0.027111
0.223182,0.033234
0.179948,0.033306
0.167613,0.026143
0.233225,0.021100
0.170914,0.039179
0.189771,0.026069
0.191482,0.035799
0.233527,0.023164
0.197996,0.041329
0.184506,0.032940
0.168826,0.030795
0.163088,0.024827
0.181910,0.031939
0.212760,0.035070
0.253086,0.027586
0.217565,0.023024
0.232796,0.029574
0.217716,0.030852
0.186832,0.038474
0.204176,0.037202
0.219752,0.022942
0.200117,0.032475
0.238939,0.026006
0.249172,0.026495
0.185058,0.036295
0.192317,0.023552
0.195717,0.025433
0.225966,0.035428
0.182702,0.031115
0.180718,0.032919
0.210425,0.038107
0.228057,0.031761
0.195580,0.024995
0.261964,0.032122
0.195794,0.026844
0.178858,0.031364
0.235155,0.033676
0.192041,0.024926
0.212185,0.028844
0.199947,0.037795
0.222639,0.022956
0.193036,0.040126
0.257058,0.031241
0.206224,0.027402
0.230656,0.025309
0.219173,0.026108
0.173229,0.042057
0.190707,0.022599
0.230821,0.030787
0.213238,0.035329
0.207999,0.032850
0.228759,0.041663
0.214223,0.030461
0.252125,0.022945
0.212075,0.025437
0.218808,0.037740
0.190322,0.024954
0.227879,0.042250
0.195646,0.038982
0.185640,0.029963
0.158836,0.023405
0.182916,0.025712
0.231323,0.031710
0.196736,0.037057
0.229414,0.034798
0.184983,0.034914
0.180656,0.024682
0.223908,0.021552
0.233183,0.025197
0.187865,0.041451
0.203865,0.041009
0.181676,0.034737
0.181595,0.035034
0.248660,0.031664
0.236374,0.035229
0.246175,0.035839
0.210643,0.031351
0.181550,0.023669
0.246524,0.032991
0.207743,0.034514
0.215663,0.024665
0.247787,0.036380
0.266314,0.032876
0.188195,0.025112
0.240415,0.029665
0.194541,0.021933
0.187331,0.028811
0.195158,0.036080
0.216002,0.026129
0.220248,0.021127
0.201929,0.040187
0.276518,0.029665
0.220442,0.040947
0.184833,0.023069
0.206185,0.029484
0.220640,0.026022
0.204597,0.028347
0.202861,0.032079
0.270258,0.038205
0.175351,0.030460
0.167266,0.033354
0.282398,0.032826
0.230371,0.043895
0.218878,0.022608
0.216496,0.027744
0.229445,0.023408
0.223966,0.030853
0.247328,0.024321
0.209161,0.033861
0.192731,0.023419
0.184985,0.038025
0.247195,0.029983
0.218441,0.031740
0.177873,0.031494
0.206680,0.040625
0.202717,0.026255
0.209262,0.023785
0.201808,0.021431
0.247594,0.025112
0.195164,0.034939
0.220556,0.023345
0.251253,0.031491
0.209105,0.038333
0.251008,0.040493
0.199939,0.032220
0.184021,0.025101
0.208199,0.029267
0.241761,0.035034
0.239237,0.031163
0.177612,0.040262
0.243703,0.033555
0.258866,0.030506
0.209787,0.023070
0.224082,0.035454
0.213950,0.027687
0.202500,0.026106
0.190880,0.033467
0.255432,0.025707
0.183144,0.034207
0.242824,0.035122
0.209044,0.022115
0.225498,0.032716
0.238867,0.035245
0.228917,0.027608
0.185582,0.025780
0.197582,0.032532
0.248678,0.032374
0.195533,0.027652
0.216431,0.027791
0.220833,0.038493
0.286541,0.027860
0.170052,0.026173
0.208101,0.028640
0.217542,0.033339
0.239332,0.030043
0.253401,0.032218
0.229679,0.031965
0.208697,0.022723
0.191091,0.027643
0.211950,0.036503
0.195295,0.022559
0.203366,0.024410
0.234386,0.034152
0.194115,0.022774
0.171081,0.024530
0.205238,0.035259
0.173439,0.023149
0.217453,0.030830
0.180989,0.037912
0.190360,0.036854
0.245962,0.027575
0.183184,0.021442
0.209203,0.037766
0.229124,0.029788
0.174155,0.026680
0.211452,0.028346
0.261797,0.022807
0.183317,0.024587
0.206929,0.028229
0.187755,0.024172
0.272295,0.035761
0.199577,0.034888
0.199171,0.040239
0.252241,0.022043
0.225073,0.033265
0.209897,0.024641
0.210893,0.037144
0.197209,0.031121
0.274610,0.022775
0.243976,0.029840
0.212238,0.038067
0.180636,0.024670
0.189599,0.041784
0.217152,0.024342
0.236180,0.038097
0.218906,0.030540
0.185663,0.037091
0.197850,0.042460
0.178190,0.030196
0.211551,0.034465
0.228672,0.023650
0.198112,0.029038
0.163885,0.025388
0.207903,0.021163
0.192678,0.033393
0.216981,0.040560
0.159734,0.026356
0.212476,0.037776
0.201229,0.042475
0.190740,0.027175
0.211703,0.022743
0.174968,0.026531
0.269431,0.026103
0.240178,0.025643
0.194948,0.024097
0.192939,0.024905
0.210306,0.031153
0.180710,0.023346
0.212364,0.025068
0.191035,0.028105
0.276279,0.027309
0.207276,0.025874
0.201435,0.021757
0.230201,0.038524
0.190898,0.029413
0.198784,0.033670
0.176255,0.026476
0.230768,0.036809
0.175778,0.037318
0.227275,0.029903
0.219272,0.027226
0.179783,0.041691
0.256282,0.028942
0.203193,0.033001
0.216963,0.030015
0.249645,0.033348
0.219842,0.024962
0.234666,0.037986
0.217536,0.032741
0.213974,0.023926
0.251595,0.026260
0.179712,0.032028
0.196710,0.023239
0.186309,0.022592
0.167636,0.029073
0.185652,0.026047
0.159190,0.029979
0.177012,0.038284
0.177665,0.029118
0.188450,0.042616
0.206308,0.027293
0.210142,0.035275
0.208213,0.031463
0.201519,0.044096
0.228704,0.022519
0.179847,0.028761
0.227359,0.038935
0.213243,0.026445
0.176660,0.035756
0.205510,0.027738
0.254757,0.027019
0.259348,0.029988
0.219854,0.045097
0.219855,0.029545
0.237124,0.026706
0.235349,0.028409
0.228422,0.032792
0.276145,0.027581
0.211948,0.042264
0.221211,0.041558
0.185894,0.040603
0.172092,0.037172
0.211220,0.021704
0.151254,0.034348
0.238302,0.027230
0.194058,0.033171
0.248819,0.028615
0.193394,0.031762
0.186848,0.023008
0.176469,0.024649
0.165739,0.027115
0.189202,0.021970
0.174047,0.029076
0.206474,0.043734
0.251836,0.026041
0.223534,0.035925
0.166783,0.026501
0.213351,0.029274
0.217713,0.038967
0.241144,0.026968
0.178834,0.032975
0.185088,0.025553
0.188290,0.040343
0.204480,0.042095
0.248535,0.026331
0.245490,0.022922
0.196577,0.034183
0.197740,0.031913
0.247853,0.031080
0.228409,0.027775
0.193813,0.042515
0.206774,0.021278
0.219875,0.034019
0.169458,0.025001
0.210273,0.039604
0.205546,0.021245
0.209584,0.024768
0.205192,0.024958
0.232299,0.025639
0.206844,0.030339
0.216627,0.042376
0.247717,0.029801
0.193583,0.043435
0.225905,0.035034
0.200086,0.036078
0.209211,0.039162
0.208278,0.022706
0.205877,0.036040
0.180859,0.026760
0.213299,0.033152
0.184005,0.031781
0.230614,0.031180
0.198762,0.026824
0.220961,0.034788
0.163329,0.025926
0.199173,0.026700
0.225398,0.030124
0.174686,0.028778
0.240519,0.030845
0.218930,0.025467
0.179618,0.030700
0.262206,0.031891
0.243917,0.024913
0.234724,0.035845
0.192122,0.031171
0.210444,0.026452
0.192293,0.025522
0.211254,0.043679
0.201577,0.036774
0.199357,0.043022
0.248451,0.023614
0.230712,0.021150
0.197139,0.028243
0.181827,0.026598
0.194468,0.024723
0.240617,0.031752
0.273239,0.033001
0.204871,0.029734
0.235978,0.041804
0.230724,0.028162
0.169361,0.026704
0.189815,0.021538
0.208467,0.030673
0.212524,0.027099
0.254744,0.033962
0.200423,0.030018
0.247472,0.033549
0.229013,0.044674
0.176023,0.031517
0.185793,0.028883
0.236085,0.025647
0.227686,0.021442
0.170618,0.043637
0.223296,0.037007
0.173852,0.034963
0.214196,0.042110
0.272213,0.029911
0.183424,0.039196
0.213656,0.030972
0.212695,0.035720
0.178216,0.023328
0.197980,0.040856
0.214442,0.021910
0.230169,0.040952
0.265752,0.035590
0.187152,0.027485
0.238078,0.041040
0.211259,0.023206
0.232055,0.027416
0.230876,0.034333
0.222520,0.025789
0.180604,0.026962
0.198065,0.038140
0.201083,0.037298
0.256574,0.034554
0.254109,0.041109
0.171693,0.027745
0.217385,0.030882
0.223285,0.027703
0.239085,0.038521
0.254404,0.034708
0.169095,0.025745
0.231104,0.025851
0.184643,0.033318
0.182190,0.027369
0.242581,0.025856
0.173610,0.039607
0.197713,0.025917
0.195323,0.029389
0.244774,0.025060
0.190496,0.038625
0.208497,0.038123
0.228215,0.021537
0.226099,0.029545
0.179304,0.032823
0.198052,0.037234
0.191968,0.030352
0.185247,0.023136
0.168888,0.033641
0.178359,0.025706
0.217633,0.032500
0.210787,0.034815
0.218615,0.025588
0.185484,0.039890
0.209306,0.035296
0.221631,0.037863
0.179312,0.031082
0.197283,0.026677
0.186372,0.021931
0.191397,0.029090
0.203882,0.043508
0.227533,0.039770
0.236912,0.022561
0.203330,0.033795
0.182146,0.026608
0.182803,0.037667
0.185648,0.033686
0.180396,0.029721
0.238345,0.023822
0.176394,0.040611
0.197464,0.039806
0.203368,0.032358
0.190463,0.041957
0.184067,0.035010
0.230916,0.028529
0.260754,0.024510
0.222656,0.037403
0.218833,0.029196
0.184004,0.027284
0.223847,0.035604
0.261663,0.022970
0.216308,0.033014
0.192131,0.032388
0.241572,0.038687
0.249109,0.024251
0.177357,0.033003
0.202391,0.023232
0.185234,0.025674
0.201809,0.027893
0.212671,0.034375
0.252371,0.030266
0.187921,0.027096
0.159877,0.031416
0.220486,0.025754
0.232711,0.042597
0.219981,0.030586
0.207266,0.033748
0.189248,0.025349
0.218303,0.020745
0.245127,0.027699
0.224245,0.040618
0.172420,0.029079
0.211403,0.033779
0.185930,0.020723
0.254288,0.027299
0.250456,0.027047
0.205904,0.027879
0.190880,0.041581
0.176505,0.035085
0.187943,0.024057
0.235787,0.030123
0.189696,0.026896
0.202728,0.035441
0.197780,0.038843
0.220368,0.021254
0.248941,0.034685
0.215917,0.023094
0.169847,0.034023
0.245805,0.032468
0.187967,0.026188
0.205591,0.021386
0.213210,0.040139
0.240949,0.038228
0.221859,0.035448
0.271472,0.030884
0.220641,0.025323
0.233872,0.030108
0.216906,0.023964
0.216660,0.043276
0.204073,0.031671
0.182723,0.029184
0.199888,0.041141
0.272411,0.026145
0.206422,0.045372
0.188677,0.026472
0.182758,0.021932
0.235449,0.035741
0.230778,0.039291
0.185919,0.041485
0.227258,0.026108
0.207329,0.022708
0.216150,0.023228
0.248497,0.038337
0.219780,0.040594
0.175335,0.025353
0.200495,0.022052
0.266207,0.025572
0.181372,0.028659
0.238260,0.033086
0.247945,0.030365
0.229450,0.032525
0.251716,0.035944
0.195950,0.021503
0.212251,0.044469
0.188646,0.027369
0.195523,0.031725
0.166202,0.032800
0.206696,0.021288
0.223182,0.037071
0.184935,0.044131
0.172010,0.035605
0.207241,0.027099
0.219477,0.036520
0.202957,0.031062
0.218193,0.027354
0.188326,0.040824
0.217259,0.030399
0.209250,0.038552
0.199213,0.022617
0.290196,0.028851
0.204871,0.027521
0.234114,0.041024
0.195060,0.023642
0.227353,0.031290
0.251176,0.031437
0.195157,0.039470
0.195779,0.026031
0.215087,0.024234
0.183686,0.028111
0.217358,0.026285
0.199262,0.035824
0.244925,0.025714
0.189353,0.036961
0.244882,0.042416
0.177916,0.032748
0.178907,0.040403
0.186884,0.025778
0.204957,0.026318
0.216362,0.023517
0.207311,0.036645
0.177012,0.027272
0.187627,0.029825
0.224926,0.031933
0.186618,0.031800
0.199394,0.042915
0.193804,0.024037
0.199077,0.034333
0.206641,0.026338
0.279098,0.033860
0.219209,0.035421
0.212449,0.027204
0.215535,0.023213
0.214036,0.028722
0.209676,0.022275
0.231719,0.026670
0.243576,0.032742
0.227013,0.039833
0.227095,0.038204
0.184527,0.028943
0.187205,0.021836
0.168951,0.035937
0.224674,0.031990
0.247839,0.027624
0.236783,0.042769
0.164141,0.026686
0.193868,0.029968
0.203938,0.027405
0.236142,0.034662
0.182670,0.023320
0.207572,0.028297
0.181974,0.025991
0.210649,0.026694
0.241463,0.024074
0.222468,0.023528
0.254119,0.023404
0.214079,0.023980
0.203853,0.039945
0.182663,0.030161
0.212468,0.037235
0.271588,0.032264
0.202719,0.029399
0.219207,0.022022
0.213047,0.044719
0.189851,0.038167
0.197928,0.042144
0.192736,0.042535
0.182591,0.037764
0.211994,0.026132
0.206559,0.028825
0.269061,0.028323
0.204557,0.029722
0.163047,0.027750
0.188158,0.038167
0.224629,0.033161
0.243161,0.022028
0.186207,0.029218
0.189877,0.021572
0.244717,0.032048
0.209358,0.039276
0.183156,0.023506
0.212631,0.035198
0.243352,0.030284
