beta,gamma
0.185064,0.039430
0.117457,0.016826
0.052839,0.007954
0.108893,0.028199
0.128925,0.003817
0.518252,0.136589
0.096894,0.007548
0.203490,0.003694
0.174858,0.003250
0.221197,0.063044
0.075537,0.004650
0.281712,0.002656
0.056690,0.006712
0.073053,0.002517
0.063190,0.002831
0.148321,0.031674
0.116070,0.003875
0.177014,0.021360
0.154203,0.022815
0.687077,0.002528
0.048340,0.004454
0.192244,0.007903
0.147541,0.027658
0.220822,0.004962
0.107011,0.015121
0.124873,0.004829
0.072530,0.009925
0.091883,0.012294
0.143914,0.002535
0.146668,0.069649
0.062871,0.005003
0.078448,0.014004
0.322333,0.045396
0.257376,0.003455
0.135405,0.052690
0.109456,0.013149
0.111800,0.006328
0.430365,0.025374
0.067551,0.025080
0.403030,0.232538
0.148317,0.074063
0.036840,0.014973
0.170258,0.005437
0.036183,0.006828
0.123757,0.002953
0.204280,0.004489
0.232257,0.093478
0.225275,0.082232
0.150688,0.002895
0.101701,0.009410
0.297089,0.005797
0.336133,0.073253
0.147535,0.010248
0.045912,0.007567
0.044422,0.005833
0.093357,0.058625
0.157927,0.004031
0.283973,0.021486
0.264887,0.016267
0.074775,0.010622
0.346653,0.004576
0.132268,0.058625
0.310688,0.093058
0.171656,0.007826
0.211723,0.013772
0.273532,0.150042
0.158295,0.053296
0.136582,0.066750
0.251491,0.008508
0.234006,0.017429
0.102341,0.003046
0.034204,0.013328
0.107158,0.003108
0.047695,0.004856
0.190901,0.024660
0.101076,0.004327
0.056122,0.008972
0.055834,0.003356
0.091201,0.004634
0.152664,0.003604
0.197316,0.021421
0.327448,0.033501
0.521442,0.050954
0.122641,0.003059
0.203778,0.020000
0.130130,0.003198
0.145690,0.039276
0.339003,0.004894
0.347907,0.003270
0.136433,0.003520
0.119330,0.008905
0.413598,0.165236
0.301066,0.004022
0.195506,0.140858
0.040149,0.004050
0.263390,0.029486
0.135607,0.003990
0.098518,0.009486
0.232247,0.004447
0.121691,0.017715
0.064089,0.031052
0.255112,0.026533
0.147685,0.036555
0.083979,0.016963
0.166835,0.050361
0.033073,0.005972
0.306341,0.008446
0.202237,0.010454
0.155878,0.004286
0.584260,0.002812
0.062470,0.008423
0.035697,0.014262
0.269393,0.007515
0.132462,0.026577
0.353216,0.036791
0.031281,0.008163
0.067894,0.021657
0.180080,0.008734
0.058040,0.007565
0.194138,0.019518
0.072095,0.007363
0.166054,0.003349
0.299257,0.154213
0.174880,0.003478
0.102278,0.018153
0.051557,0.012592
0.127358,0.003857
0.095118,0.037036
0.192878,0.023805
0.073906,0.043553
0.159019,0.056002
0.079270,0.012376
0.061852,0.005299
0.108320,0.030249
0.087268,0.027488
0.146456,0.051016
0.045822,0.008538
0.331806,0.004598
0.033971,0.008655
0.043944,0.010818
0.140688,0.100350
0.040176,0.003884
0.165250,0.023860
0.174759,0.008972
0.308961,0.096339
0.140422,0.087764
0.444779,0.003159
0.080224,0.038144
0.077756,0.005731
0.273143,0.073362
0.175950,0.078551
0.037841,0.011024
0.118804,0.056870
0.067058,0.020221
0.148089,0.018938
0.211955,0.003264
0.190224,0.003381
0.185887,0.014062
0.037492,0.013967
0.174741,0.067125
0.201813,0.002571
0.088962,0.012179
0.070415,0.023020
0.075428,0.024894
0.041118,0.015695
0.361442,0.108858
0.110743,0.014877
0.196742,0.008663
0.178865,0.017852
0.084096,0.020363
0.090082,0.002826
0.093611,0.013696
0.146651,0.002603
0.044853,0.014491
