beta,gamma
0.043879,0.011772
0.101829,0.009924
0.525992,0.056047
0.220684,0.026767
0.165705,0.002161
0.180777,0.012757
0.066979,0.015933
0.994103,0.116972
0.090671,0.021837
0.121035,0.049090
0.373178,0.092800
0.214920,0.105042
0.325383,0.046153
0.082729,0.030300
0.153079,0.003451
0.512048,0.035247
0.405081,0.044207
0.260713,0.038428
0.189326,0.006495
0.730325,0.008930
0.080609,0.003634
0.126297,0.012031
0.204156,0.008921
0.051915,0.017301
0.106451,0.003701
0.036383,0.016154
0.137983,0.060587
0.173749,0.034215
0.216877,0.001711
0.067621,0.010447
0.269435,0.021852
0.437022,0.092059
0.335106,0.092885
0.104986,0.003033
0.114859,0.043472
0.677645,0.107592
0.049612,0.019947
0.204379,0.002737
0.246232,0.009832
0.371279,0.002214
0.200618,0.028305
0.663833,0.005431
0.230860,0.008738
0.072775,0.049740
0.110836,0.002869
0.294892,0.145265
0.307579,0.082704
0.082395,0.011420
0.250377,0.024241
0.140994,0.022239
0.450829,0.093160
0.690661,0.054648
0.102579,0.002787
0.629600,0.180422
0.221928,0.048128
0.059151,0.024973
0.176879,0.002001
0.329420,0.020216
0.181455,0.004427
0.817968,0.451920
0.216892,0.107137
0.680706,0.153254
0.081639,0.019773
0.743820,0.432863
1.203093,0.394664
0.075359,0.013330
1.084697,0.724238
0.099793,0.004421
0.197426,0.022368
0.512087,0.036268
0.254414,0.033114
0.087264,0.046196
0.482126,0.057668
0.140276,0.044712
0.215898,0.060300
0.044279,0.013473
0.558995,0.075095
0.121897,0.007771
0.105918,0.010744
0.124619,0.051156
0.418964,0.048224
0.041530,0.015531
0.134289,0.004539
0.170591,0.005744
0.469863,0.002464
0.407153,0.024672
0.193946,0.006777
0.945935,0.244971
0.194416,0.013170
0.389875,0.002167
0.079262,0.006682
0.062375,0.003530
0.228649,0.048595
0.263678,0.011476
0.424538,0.069706
0.084828,0.009293
0.123459,0.006345
0.102543,0.003561
0.203869,0.145138
0.062069,0.008590
0.126816,0.033362
0.480667,0.001740
0.047487,0.018609
0.174661,0.024370
0.179390,0.025777
0.262843,0.121508
0.354764,0.011219
0.259220,0.139720
0.291652,0.002324
0.465702,0.324472
0.360586,0.012715
1.021933,0.001787
0.183572,0.004140
0.094000,0.028575
0.227263,0.003498
0.257676,0.002458
0.216352,0.053542
0.523118,0.004193
0.045518,0.007581
0.058419,0.007327
0.232135,0.042659
0.162120,0.089103
0.100067,0.014762
0.408518,0.003078
0.216817,0.107973
0.152494,0.003500
0.208145,0.026138
0.291659,0.102963
0.374294,0.177404
0.035187,0.007320
0.354999,0.020806
0.057890,0.002835
0.103682,0.025986
0.124900,0.002933
0.195417,0.069706
0.130302,0.004519
0.102024,0.004077
0.203567,0.004970
0.190616,0.011189
0.153917,0.002208
0.065894,0.014596
0.472871,0.004330
0.114069,0.027429
0.868906,0.007946
0.592137,0.041534
0.130572,0.069936
0.049822,0.002768
0.361198,0.274845
0.665978,0.401136
0.143363,0.020898
0.185117,0.099083
0.092971,0.017038
0.138860,0.078634
0.434348,0.008433
0.136753,0.019449
0.599081,0.018045
0.479336,0.006442
0.205062,0.132867
0.198304,0.009583
0.139703,0.014806
0.096083,0.002326
0.641903,0.375894
0.498991,0.014127
0.075794,0.021771
0.751810,0.005555
0.156341,0.033180
0.064497,0.002324
0.496792,0.055371
0.060424,0.011346
0.405962,0.010398
0.260359,0.060783
0.071020,0.023818
0.280734,0.056761
0.393493,0.005116
0.745187,0.004754
0.166285,0.011074
0.075097,0.020936
0.102854,0.002949
0.154073,0.025991
0.457032,0.064923
0.168851,0.002372
0.076315,0.006955
0.309343,0.062217
0.740389,0.062276
1.308876,0.002925
0.123889,0.072821
0.239400,0.008047
0.043863,0.004461
0.108779,0.001926
0.898354,0.004026
0.165365,0.005523
0.150229,0.025968
0.331631,0.008337
0.807511,0.003263
0.090247,0.004849
0.054339,0.003063
0.153434,0.022673
0.136383,0.006181
0.296814,0.225553
0.306490,0.058605
0.183974,0.124968
0.503820,0.216350
0.158455,0.039568
0.064947,0.003651
0.208184,0.134469
0.319193,0.011333
0.109980,0.028932
0.436086,0.101116
1.026334,0.441322
0.485554,0.006144
0.137391,0.005668
0.417922,0.032807
0.545066,0.006933
0.220177,0.003511
0.310580,0.009914
0.062580,0.008467
0.362115,0.002513
0.110718,0.002086
0.085248,0.012080
0.204975,0.141366
0.219071,0.017403
0.082635,0.012749
0.036505,0.008126
0.580898,0.045430
0.322837,0.015344
0.560374,0.079475
0.126419,0.004389
0.060253,0.004801
0.235377,0.004643
0.370814,0.004000
0.400792,0.005935
0.560771,0.244863
0.507681,0.058804
0.584203,0.088142
0.068383,0.016724
0.427473,0.007326
0.040739,0.014897
0.517742,0.026927
0.446470,0.211467
0.397436,0.010387
0.082290,0.014454
0.066504,0.023344
0.252437,0.116742
0.290899,0.086897
0.588053,0.003854
0.125515,0.007869
0.848323,0.324768
0.159048,0.052438
0.282325,0.093803
0.056847,0.002649
0.550096,0.003332
0.583553,0.022628
0.215725,0.006433
0.180347,0.014251
0.394673,0.022920
0.351880,0.054869
0.347214,0.218512
0.175110,0.003355
0.144593,0.013355
0.256312,0.006834
0.081469,0.003711
0.262671,0.060805
0.204089,0.053363
0.154459,0.010663
0.039376,0.013000
0.067480,0.007235
0.177363,0.002936
0.218535,0.043318
0.137170,0.076669
0.046682,0.013843
0.099674,0.043048
0.155126,0.086220
0.149272,0.103565
0.071074,0.006478
0.327662,0.012101
0.268715,0.163458
0.159974,0.046039
0.262183,0.019952
0.154483,0.004131
0.286852,0.176370
0.316730,0.177270
0.273580,0.030188
