beta,gamma
0.112720,0.010471
0.081550,0.011049
0.085747,0.011675
0.105158,0.010981
0.087718,0.009673
0.100715,0.008492
0.095141,0.009738
0.095167,0.009107
0.098124,0.011049
0.096971,0.009248
0.093761,0.008853
0.097425,0.012117
0.088104,0.009833
0.104865,0.009491
0.079889,0.009794
0.087517,0.011038
0.100418,0.011356
0.086555,0.009989
0.106322,0.009741
0.096465,0.008772
0.101013,0.009528
0.094584,0.011345
0.087222,0.008844
0.101639,0.011336
0.089171,0.010373
0.106237,0.010879
0.098461,0.009198
0.105268,0.010717
0.088474,0.012352
0.101723,0.011908
0.081898,0.013101
0.110642,0.009401
0.108637,0.008753
0.085779,0.009658
0.084985,0.012006
0.095656,0.010414
0.102459,0.009141
0.095362,0.009913
0.090406,0.012262
0.099156,0.010448
0.097722,0.009891
0.079417,0.009042
0.108252,0.011640
0.083402,0.012406
0.101191,0.009446
0.083498,0.009371
0.091949,0.008727
0.106644,0.009375
0.082951,0.010897
0.114361,0.010949
0.105920,0.009751
0.095938,0.011074
0.094767,0.013421
0.078754,0.009070
0.093005,0.011219
0.091411,0.009859
0.096355,0.009910
0.091608,0.009256
0.084162,0.012567
0.080164,0.009206
0.086354,0.010075
0.110792,0.010266
0.092554,0.012611
0.083601,0.011263
0.109229,0.010643
0.089298,0.009015
0.090778,0.010925
0.099987,0.009286
0.107132,0.009790
0.099811,0.008911
0.085094,0.011997
0.107993,0.011386
0.101194,0.010747
0.101723,0.011836
0.098348,0.009622
0.083271,0.009256
0.098172,0.010434
0.090333,0.008479
0.098828,0.009575
0.093179,0.011704
0.086095,0.012007
0.089224,0.012034
0.120977,0.009146
0.117562,0.011173
0.095638,0.008784
0.090018,0.009769
0.085237,0.010851
0.084814,0.011206
0.098226,0.009119
0.091999,0.010437
0.086120,0.011231
0.091748,0.011104
0.107144,0.009417
0.099927,0.009627
0.088524,0.012115
0.092304,0.009840
0.102336,0.012161
0.078500,0.009951
0.108244,0.010118
0.081258,0.012087
0.101048,0.009803
0.087798,0.009740
0.081856,0.010368
0.085547,0.008787
0.093018,0.011794
0.086349,0.008323
0.081659,0.009446
0.095545,0.009197
0.097670,0.011000
0.080668,0.012084
0.094888,0.011886
0.100159,0.011206
0.082378,0.010074
0.098511,0.009768
0.103751,0.011125
0.101565,0.011357
0.090290,0.009622
0.080723,0.012046
0.085112,0.012307
0.094532,0.009929
0.080998,0.009290
0.118725,0.009592
0.110232,0.009903
0.108797,0.009787
0.080526,0.010064
0.088667,0.010872
0.088842,0.009814
0.080938,0.011719
0.101925,0.009038
0.087449,0.009771
0.110755,0.010503
0.098821,0.009224
0.105475,0.011894
0.083022,0.012267
0.090533,0.011256
0.089599,0.009831
0.105463,0.009478
0.101569,0.010949
0.075606,0.009774
0.078644,0.010334
0.107158,0.010822
0.088025,0.010366
0.099261,0.009222
0.093924,0.010328
0.086195,0.010518
0.094126,0.008764
0.098285,0.009576
0.079293,0.009034
0.098368,0.012439
