beta,gamma
0.107666,0.011989
0.303250,0.000729
0.747478,0.262182
0.240484,0.018345
0.153721,0.069081
0.046227,0.005263
0.245999,0.007037
0.126195,0.001738
0.235394,0.072324
0.513978,0.162461
0.603968,0.000927
0.609317,0.002663
0.371107,0.001575
0.065331,0.009428
0.062892,0.001338
0.263507,0.051924
0.578613,0.014161
0.326237,0.020557
0.395397,0.207046
0.795967,0.374632
0.311181,0.123772
0.066541,0.038665
0.247985,0.079588
0.116468,0.013157
0.270049,0.066192
0.079633,0.002825
0.418748,0.001093
0.161256,0.034246
0.779620,0.046944
0.158635,0.006456
0.341590,0.202046
0.212915,0.080295
0.026122,0.011277
0.114638,0.007669
0.216985,0.000574
0.161217,0.001752
0.074558,0.052449
0.210024,0.000622
0.154601,0.000615
0.041996,0.007123
0.321598,0.012663
0.228898,0.160357
0.104421,0.001579
0.151485,0.042024
0.043271,0.001705
0.141854,0.101368
0.301103,0.004897
0.835213,0.247816
0.082371,0.037494
0.105414,0.029228
0.316986,0.295989
0.016857,0.003907
0.036956,0.012508
0.097450,0.047016
0.092765,0.004426
0.898465,0.068193
0.479969,0.002555
0.028265,0.013156
1.756170,0.924121
0.142115,0.005335
0.177308,0.075937
0.239497,0.013252
0.322821,0.065174
0.339912,0.004586
0.313319,0.002898
0.063684,0.000868
0.279733,0.000606
0.085720,0.033577
0.158070,0.005130
0.487270,0.005069
0.273881,0.038955
0.113944,0.045616
0.345961,0.009200
0.499984,0.002116
0.718805,0.001048
0.847746,0.003526
0.228666,0.005513
0.121100,0.040771
0.166604,0.117948
0.155483,0.055547
0.175994,0.000486
0.119810,0.018057
0.249181,0.000566
0.241653,0.000551
0.105178,0.002373
0.768118,0.016003
0.370350,0.010768
0.243351,0.001223
0.364350,0.252761
0.323201,0.011701
0.089492,0.012640
0.051452,0.001423
0.036099,0.001060
0.955704,0.002684
1.929948,0.009152
0.215234,0.005753
0.128695,0.002976
0.406428,0.001076
0.467689,0.163883
0.107789,0.089707
0.997397,0.009324
0.760981,0.011255
0.074948,0.018875
0.123478,0.076515
0.228409,0.015709
0.064573,0.003740
0.179039,0.107696
0.153044,0.084049
0.530584,0.374355
0.148757,0.074291
0.278622,0.028199
0.192003,0.040436
0.022485,0.005552
0.539285,0.001081
0.101065,0.024896
0.175925,0.003280
0.029420,0.012642
0.298397,0.009508
0.250213,0.001068
0.458187,0.038093
0.219237,0.014440
0.069219,0.000735
0.753411,0.016364
0.034437,0.001321
0.249629,0.166264
0.028097,0.000917
0.220010,0.001052
0.130104,0.034882
0.231221,0.111037
0.277297,0.000572
0.076403,0.038566
0.035182,0.004416
0.342595,0.003701
0.123527,0.078196
0.218529,0.036331
0.363766,0.003190
0.104796,0.001719
0.100511,0.002700
0.030536,0.009145
