beta,gamma
0.135112,0.016026
0.109214,0.009929
0.081898,0.012649
0.093020,0.014004
0.094267,0.005797
0.127837,0.011778
0.139949,0.010740
0.134527,0.010003
0.090461,0.008383
0.086377,0.013313
0.123995,0.014730
0.081761,0.013717
0.103516,0.006675
0.110465,0.010356
0.097890,0.006733
0.104679,0.009651
0.095005,0.016422
0.130734,0.009809
0.081134,0.015916
0.108720,0.007448
0.091758,0.012734
0.110696,0.008503
0.117285,0.015097
0.134896,0.008860
0.083982,0.014730
0.119918,0.015287
0.132648,0.009578
0.170458,0.007059
0.115322,0.013375
0.107254,0.007047
0.085346,0.006685
0.126889,0.008013
0.072031,0.014196
0.079828,0.011632
0.129109,0.007947
0.155611,0.012405
0.116767,0.007167
0.167035,0.009096
0.078620,0.014664
0.097113,0.013065
0.075400,0.008288
0.120795,0.016425
0.159972,0.007049
0.077976,0.008120
0.140952,0.010262
0.173765,0.009927
0.114558,0.009831
0.074774,0.016538
0.118788,0.008220
0.101487,0.007581
0.096373,0.008052
0.108067,0.016185
0.095137,0.006100
0.106437,0.005910
0.118052,0.007592
0.112665,0.013984
0.140780,0.006953
0.122040,0.010718
0.084941,0.006934
0.087814,0.008987
0.136037,0.007470
0.133649,0.010389
0.127531,0.005784
0.083187,0.008046
0.159385,0.010339
0.070421,0.009604
0.121755,0.016025
0.129171,0.007745
0.094226,0.017089
0.186389,0.007883
0.102175,0.011648
0.095678,0.016362
0.071625,0.009903
0.096170,0.011626
0.093962,0.008365
0.146233,0.009196
0.145754,0.007692
0.100284,0.008825
0.064645,0.007254
0.089505,0.011063
0.169495,0.010819
0.105642,0.009603
0.127172,0.009323
0.148286,0.009511
0.091552,0.014557
0.136835,0.007849
0.110668,0.010646
0.081234,0.012564
0.170444,0.012296
0.076862,0.018817
0.151446,0.007124
0.130334,0.008173
0.196637,0.009845
0.097454,0.011244
0.093240,0.011371
0.153899,0.008708
0.125326,0.011637
0.093312,0.007183
0.154139,0.009046
0.180558,0.011450
0.162138,0.006651
0.068117,0.007758
0.113712,0.008027
0.109582,0.013979
0.170701,0.006432
0.120184,0.012732
0.078717,0.008330
0.110880,0.006085
0.134962,0.006747
0.158904,0.012293
0.083404,0.011221
0.159032,0.006936
0.142982,0.010820
0.112437,0.017206
0.149036,0.010556
0.092106,0.008638
0.084721,0.008719
0.077421,0.008583
0.078217,0.010883
0.120897,0.015879
0.083746,0.015543
0.124312,0.005677
0.103966,0.013482
0.097392,0.007772
0.129096,0.012511
0.080233,0.013109
0.080443,0.007436
0.145006,0.007462
0.078516,0.009639
0.088098,0.008269
0.129176,0.010506
0.079938,0.007732
0.174428,0.008157
0.167746,0.008792
0.114156,0.007837
0.112932,0.015220
0.083017,0.018239
0.079598,0.008882
0.121048,0.005767
0.105583,0.005931
0.106851,0.006333
0.092900,0.005637
0.141229,0.006173
0.110039,0.012511
0.112423,0.008418
0.124385,0.006307
0.141863,0.010660
0.117850,0.008108
0.107348,0.008363
0.073920,0.011954
0.100568,0.006968
0.106000,0.012193
0.102197,0.015501
0.100990,0.006216
0.097952,0.015255
0.075520,0.017690
0.153197,0.009797
0.077512,0.006404
0.087305,0.011377
0.130107,0.012109
0.145877,0.010516
0.096527,0.011087
0.113467,0.011783
0.093844,0.010960
0.074484,0.011287
0.148501,0.007398
0.122545,0.009671
0.099947,0.010952
0.098861,0.011531
0.110708,0.006284
0.132722,0.012731
0.090769,0.012974
0.131271,0.015068
0.096616,0.007370
0.090722,0.016325
0.197150,0.012212
0.076989,0.008431
0.076321,0.007218
0.072073,0.012418
0.107061,0.008662
0.120884,0.010107
0.119930,0.014202
0.110685,0.016723
0.070363,0.015238
0.085957,0.007603
0.099443,0.013058
0.101242,0.015784
0.114263,0.010404
0.151931,0.011197
0.093338,0.007177
0.119018,0.010322
0.097444,0.006399
0.108042,0.009578
0.097455,0.015791
0.091629,0.013186
0.104581,0.005989
0.070421,0.008694
0.102645,0.012891
0.107229,0.008748
0.078323,0.010607
0.077741,0.017049
0.140657,0.009017
0.162360,0.008327
0.072971,0.010462
0.092513,0.006126
0.087460,0.015722
0.100244,0.007733
0.161487,0.009722
0.099313,0.012292
0.148331,0.008300
0.142200,0.006852
0.087388,0.006610
0.088855,0.006684
0.114167,0.005551
0.077641,0.008108
0.101363,0.012088
0.090769,0.015715
0.088646,0.007871
0.140998,0.010881
0.141000,0.013766
0.082511,0.006928
0.103701,0.009943
0.111022,0.012920
0.135672,0.012898
0.082673,0.017031
0.080394,0.008341
0.144528,0.009460
0.097072,0.007733
0.174186,0.008943
0.076953,0.018193
0.167283,0.010134
0.105977,0.014440
0.073465,0.008133
0.117187,0.010774
0.133709,0.013243
0.108885,0.018280
0.166853,0.008105
0.143803,0.013541
0.074278,0.008724
0.076341,0.016796
0.169237,0.007392
0.070882,0.012343
0.152340,0.006304
0.071414,0.011873
0.146589,0.008318
0.098846,0.009503
0.147597,0.013100
0.103803,0.016283
0.164403,0.007494
0.090095,0.018270
0.093747,0.007680
0.156839,0.010103
0.105016,0.012471
0.097904,0.015936
0.097443,0.019394
0.084652,0.008820
0.159459,0.010456
0.062817,0.008849
0.148705,0.006808
0.095733,0.007506
0.094045,0.005966
0.131473,0.014035
0.106433,0.019144
0.113709,0.016877
0.086228,0.012302
0.123672,0.014430
0.124813,0.010594
0.091735,0.012651
0.071545,0.011802
0.121176,0.007042
0.148064,0.006702
0.094411,0.017051
0.156595,0.012953
0.190031,0.009159
0.153046,0.009923
0.093978,0.008742
0.116788,0.006974
0.091997,0.012982
0.124735,0.010661
0.146008,0.006500
0.153494,0.007469
0.102801,0.009587
0.126798,0.015481
0.076137,0.011759
0.072498,0.009006
0.082555,0.017774
0.115106,0.013078
0.143323,0.006323
0.136808,0.014221
0.085158,0.010393
0.106197,0.014462
0.093651,0.010782
0.161211,0.006308
0.109229,0.007558
0.118049,0.008430
0.077912,0.006991
0.097466,0.018216
0.168875,0.011863
0.068816,0.016488
0.067203,0.007964
0.099600,0.008728
0.081748,0.007480
0.163377,0.008068
0.094624,0.006664
0.128773,0.005597
0.085899,0.019359
0.117041,0.009715
0.085874,0.012557
0.145136,0.005695
0.080522,0.008618
0.108044,0.010344
0.120094,0.006869
0.127976,0.012056
0.078259,0.006994
0.163879,0.007256
0.096967,0.011340
0.167100,0.007817
0.162454,0.006223
0.073374,0.013122
0.093751,0.018065
0.082550,0.015320
0.113227,0.007384
0.107325,0.017443
0.109831,0.016684
0.076825,0.007563
0.084555,0.014672
0.101521,0.013045
0.147418,0.007741
0.099270,0.014382
0.113909,0.019506
0.092646,0.009776
0.074726,0.007358
0.082309,0.006442
0.082995,0.010565
0.165291,0.009320
0.078770,0.011397
0.078407,0.008589
0.149482,0.011750
0.120661,0.008591
0.119787,0.016194
0.081646,0.012104
0.143204,0.011829
0.124492,0.006469
0.133032,0.005842
0.113877,0.018967
0.099352,0.015069
0.066680,0.010335
0.067490,0.008480
0.077008,0.006724
0.092690,0.010293
0.173441,0.010825
0.156046,0.012984
0.099102,0.009861
0.091152,0.015568
0.142133,0.007043
0.110211,0.007369
0.120860,0.012896
0.100974,0.018078
0.100826,0.006933
0.154769,0.014758
0.098049,0.012502
0.072798,0.012659
0.076945,0.006848
0.110999,0.005486
0.108865,0.014643
0.114338,0.016423
0.073068,0.007280
0.131502,0.009737
0.085989,0.008871
0.097474,0.007667
0.136508,0.013043
0.092565,0.005902
0.158487,0.009517
0.103437,0.020917
0.114191,0.006941
0.078836,0.008326
0.084269,0.013498
0.077846,0.010914
0.086208,0.014907
0.079290,0.012328
0.082538,0.009301
0.073300,0.013931
0.064168,0.008463
0.161344,0.005543
0.132698,0.015414
0.141441,0.011640
0.114521,0.008339
0.086668,0.008913
0.147016,0.009183
0.148869,0.006052
0.146131,0.013153
0.131786,0.010654
0.095063,0.013936
0.121603,0.015697
0.162622,0.006883
0.127001,0.014788
0.078845,0.007180
0.100939,0.007784
0.137800,0.007995
0.143648,0.010459
0.084452,0.010406
0.104123,0.012788
0.086951,0.015960
0.127583,0.012389
0.157363,0.006430
0.083748,0.009676
0.146887,0.010539
0.082655,0.015228
0.129346,0.007893
0.154434,0.007678
0.103681,0.013296
0.110914,0.006711
0.120681,0.015261
0.078933,0.010704
0.102336,0.015306
0.148139,0.010786
0.097049,0.007226
0.087789,0.009889
0.080068,0.014781
0.097996,0.007779
0.093441,0.015927
0.100208,0.009374
0.076912,0.006283
0.092640,0.009535
0.074719,0.012243
0.082836,0.015082
0.114892,0.015934
0.081059,0.007385
0.121533,0.018666
0.081091,0.009547
0.160991,0.007768
0.146102,0.014432
0.103653,0.011713
