beta,gamma
0.416866,0.023165
0.459093,0.040693
0.501488,0.014514
0.216069,0.016822
0.334563,0.096533
0.135773,0.024341
0.248570,0.010838
0.387727,0.009209
0.242893,0.100835
0.188709,0.010821
0.315382,0.016168
0.447430,0.020208
0.532491,0.077416
0.082424,0.014740
0.096445,0.013052
0.700850,0.037412
0.255998,0.009266
0.359361,0.102609
0.086764,0.033263
0.167524,0.014024
0.265035,0.008982
0.249927,0.064718
0.412035,0.156554
0.222094,0.013831
0.185464,0.012121
0.466961,0.191981
0.381663,0.142987
0.298051,0.010268
0.106764,0.026458
0.644071,0.014679
0.388772,0.143747
0.077621,0.025974
0.260588,0.019033
0.505967,0.099157
0.394130,0.104969
0.235966,0.020479
0.149813,0.015808
0.336261,0.012468
0.166008,0.009152
0.346885,0.120033
0.119009,0.015190
0.488808,0.031923
0.161394,0.041281
0.173959,0.008825
0.113904,0.030502
0.176011,0.019511
0.201976,0.021140
0.186874,0.009365
0.127825,0.060631
0.345967,0.028611
0.352905,0.009503
0.108380,0.017167
0.152660,0.041351
0.173144,0.029826
0.139529,0.026329
0.399896,0.008424
0.336221,0.011720
0.289150,0.019409
0.370682,0.112655
0.296775,0.076785
0.078064,0.022755
0.220295,0.013904
0.378959,0.043941
0.507178,0.040753
0.206813,0.035965
0.191059,0.017687
0.180894,0.014124
0.476879,0.012763
0.554322,0.017332
0.305268,0.027308
0.357125,0.037220
0.434298,0.014551
0.536566,0.011687
0.087398,0.014657
0.134925,0.011739
0.567395,0.056137
0.213102,0.039018
0.236662,0.027885
0.148244,0.008776
0.224715,0.087553
0.149351,0.043100
0.095387,0.031063
0.204488,0.106740
0.178820,0.009203
0.336851,0.026121
0.265727,0.009333
0.229269,0.059870
0.088294,0.019188
0.308433,0.110936
0.130388,0.013953
0.375814,0.014435
0.192921,0.027099
0.114165,0.013998
0.376996,0.044027
0.225344,0.111470
0.205032,0.053800
0.112831,0.021358
0.302754,0.158864
0.303880,0.017472
0.210757,0.094166
0.172801,0.017647
0.282561,0.048776
0.086849,0.026221
0.117568,0.011298
0.331118,0.009138
0.524696,0.027702
0.522739,0.066586
0.116045,0.037739
0.207087,0.059566
0.228481,0.076847
0.358992,0.032889
0.144480,0.009954
0.244793,0.026793
0.229076,0.021954
0.148468,0.050665
0.346515,0.056684
0.308227,0.121965
0.125394,0.017705
0.378676,0.008821
0.354026,0.031097
0.204087,0.058810
0.539172,0.009864
0.082757,0.013223
0.382914,0.017761
0.286883,0.010493
0.386386,0.018417
0.203690,0.051241
0.282342,0.075234
0.192909,0.022825
0.487342,0.012122
0.181010,0.018318
0.162414,0.028801
0.152001,0.011295
0.178363,0.084189
0.263200,0.111627
0.221444,0.019435
0.154838,0.036711
0.199223,0.015970
0.531149,0.045869
0.191122,0.066061
0.294639,0.131511
0.175761,0.077108
0.087511,0.013438
0.205369,0.088207
0.295991,0.018987
0.402828,0.061982
0.167251,0.015211
0.235415,0.074252
0.395762,0.049027
0.347382,0.014298
0.271760,0.012598
0.110325,0.009914
0.465901,0.012248
0.072274,0.022197
0.086725,0.023273
0.311672,0.087404
0.135508,0.026725
0.203224,0.028990
0.362976,0.021401
0.181377,0.052661
0.246757,0.071479
0.100715,0.017160
0.132463,0.051003
0.222166,0.020243
0.228603,0.056683
0.245975,0.008073
0.218600,0.011683
0.106597,0.036084
0.222487,0.086556
0.327532,0.095480
0.189377,0.079897
0.544767,0.011341
0.501374,0.017297
0.237053,0.023046
0.147467,0.027162
0.496975,0.094130
0.175170,0.019056
0.097330,0.028112
0.146034,0.029250
0.330817,0.074412
0.465679,0.029563
0.176111,0.042506
0.089729,0.020918
0.248939,0.011016
0.267992,0.014998
0.107779,0.010442
0.146767,0.038961
0.183229,0.020621
