beta,gamma
0.119475,0.046320
0.024891,0.002528
0.050612,0.014469
0.156672,0.005285
0.181771,0.008980
0.042668,0.010129
0.349218,0.015300
0.136617,0.001035
0.118866,0.003231
0.107823,0.000653
0.275242,0.023081
0.162373,0.000996
0.165478,0.033867
0.155252,0.001003
0.146107,0.012543
0.119273,0.003116
0.097579,0.030080
0.266117,0.002340
0.356115,0.003084
0.054092,0.001978
0.191631,0.038969
0.088155,0.001371
0.054976,0.015047
0.100574,0.001608
0.161462,0.016380
0.060677,0.002861
0.127226,0.066494
0.052086,0.007700
0.235827,0.002130
0.097671,0.013257
0.070329,0.029646
0.028310,0.005716
0.155061,0.062857
0.126816,0.003912
0.173575,0.032706
0.040034,0.021616
0.187137,0.001121
0.173945,0.010134
0.344478,0.008534
0.035319,0.002856
0.153298,0.069566
0.183378,0.000901
0.023205,0.001437
0.101284,0.002314
0.116191,0.097340
0.298442,0.138522
0.082824,0.010668
0.082268,0.011259
0.056010,0.001646
0.208897,0.000824
0.020944,0.010811
0.251516,0.013283
0.028649,0.002885
0.063692,0.004209
0.059591,0.026262
0.370751,0.219465
0.028700,0.005474
0.098040,0.036134
0.338169,0.000720
0.287633,0.000873
0.156711,0.000876
0.082230,0.003252
0.027002,0.007608
0.048285,0.009914
0.275295,0.172162
0.045896,0.001234
0.173195,0.003240
0.057719,0.001134
0.114374,0.022243
0.120870,0.005277
0.284874,0.003978
0.200396,0.158168
0.071639,0.005545
0.133056,0.000663
0.078887,0.001420
0.172349,0.002752
0.207626,0.135844
0.140326,0.038489
0.147356,0.002604
0.036130,0.004026
0.116519,0.009887
0.202498,0.022506
0.066715,0.007326
0.206192,0.015297
0.061598,0.003482
0.185746,0.011951
0.133056,0.025041
0.091072,0.000768
0.164281,0.001803
0.150275,0.112653
0.121946,0.005137
0.033495,0.001126
0.149223,0.099329
0.171305,0.053841
0.083311,0.036905
0.244219,0.027767
0.040260,0.000925
0.258218,0.117436
0.027589,0.003963
0.060698,0.021850
0.710672,0.033123
0.170696,0.002185
0.215393,0.015674
0.035956,0.006374
0.124610,0.004491
0.184168,0.061821
0.374138,0.002920
0.093194,0.001109
0.161498,0.019904
0.059362,0.003439
0.041548,0.013619
0.394199,0.037005
0.081557,0.018737
0.037178,0.001906
0.248171,0.003069
0.065466,0.041640
0.057598,0.001152
0.214709,0.011196
0.054360,0.000696
0.203377,0.002610
0.048565,0.018871
0.205627,0.010952
0.071011,0.007865
0.220675,0.066231
0.266957,0.001177
0.027263,0.002347
0.089871,0.003023
0.165474,0.016198
0.262454,0.090541
0.158230,0.140141
0.137172,0.038690
0.114055,0.027705
0.131451,0.001348
0.154110,0.006511
0.313578,0.010062
0.069851,0.001269
0.180175,0.095748
0.045405,0.021068
0.095771,0.027788
0.080614,0.008166
