beta,gamma
0.216096,0.045584
0.026919,0.009786
0.245656,0.041398
0.126939,0.001167
0.202525,0.102274
0.041693,0.002774
0.038053,0.019012
0.357093,0.007325
0.186430,0.004153
0.024441,0.009455
0.061902,0.011834
0.059090,0.002887
0.062867,0.001621
0.040534,0.001397
0.123733,0.034734
0.406647,0.001402
0.081305,0.012924
0.237392,0.114227
0.109649,0.010485
0.155858,0.059091
0.035430,0.005499
0.078928,0.003795
0.378110,0.001452
0.181254,0.005942
0.149535,0.004343
0.050436,0.007311
0.096318,0.001275
0.021224,0.002523
0.321565,0.017379
0.078456,0.033015
0.100960,0.021073
0.060889,0.002617
0.180695,0.002970
0.028096,0.008140
0.065920,0.010767
0.159654,0.039091
0.030844,0.011308
0.176319,0.010333
0.466548,0.010940
0.037577,0.010420
0.091517,0.021622
0.082245,0.002007
0.108816,0.001062
0.153680,0.002084
0.138174,0.004990
0.112389,0.012687
0.180966,0.002534
0.123789,0.003153
0.446447,0.009769
0.064729,0.007793
0.028209,0.002122
0.076297,0.062696
0.363472,0.015552
0.059886,0.020804
0.170930,0.002312
0.053263,0.024629
0.235522,0.062427
0.108982,0.001807
0.439346,0.028740
0.147068,0.031147
0.168205,0.003646
0.026952,0.004508
0.088641,0.001122
0.045268,0.024128
0.102119,0.004010
0.076099,0.001497
0.037969,0.001679
0.160677,0.001229
0.103810,0.022835
0.024215,0.003756
0.207543,0.002383
0.074549,0.001529
0.119404,0.031859
0.093722,0.024319
0.384031,0.206577
0.167482,0.043450
0.340356,0.002838
0.243075,0.001336
0.030981,0.003903
0.045604,0.001538
0.258776,0.020815
0.191033,0.013910
0.025079,0.004951
0.029291,0.002497
0.058340,0.010407
0.136396,0.011421
0.068586,0.001049
0.088935,0.009226
0.020380,0.005833
0.092819,0.049942
0.232662,0.002217
0.249237,0.018663
0.100675,0.003584
0.124881,0.001394
0.078337,0.003181
0.102543,0.002669
0.147331,0.003111
0.134793,0.055330
0.206322,0.011404
0.061200,0.016421
0.084821,0.014793
0.054549,0.019868
0.178534,0.001759
0.057785,0.002083
0.071187,0.008004
0.504221,0.002939
0.133722,0.075816
0.048772,0.001230
0.568359,0.001190
0.170698,0.067049
0.065975,0.032187
0.097181,0.023364
0.127746,0.033863
0.118546,0.004200
0.141048,0.005983
0.075979,0.022168
0.196509,0.012835
0.080783,0.003000
0.069987,0.001254
0.194635,0.052632
0.143007,0.046194
0.107185,0.001010
0.737449,0.133101
0.061929,0.002949
0.104289,0.073652
0.021488,0.005572
0.111303,0.003852
0.321617,0.231714
0.131630,0.012752
0.111528,0.002878
0.147702,0.001465
0.321714,0.090427
0.127704,0.026230
0.123267,0.001177
0.215798,0.002278
0.196389,0.001977
0.076731,0.010570
0.134179,0.001120
0.054251,0.003905
0.067852,0.005976
0.149047,0.062831
0.024425,0.002603
0.188291,0.053311
0.063820,0.006406
0.342956,0.045418
0.079463,0.026076
0.060084,0.010593
0.041013,0.016092
0.135965,0.027724
0.290410,0.004797
0.058017,0.005046
0.082935,0.055807
0.156594,0.001792
0.240363,0.002903
0.244513,0.008312
0.032104,0.002437
0.161499,0.004125
0.039279,0.001890
0.200417,0.002231
0.140596,0.011975
0.150654,0.018551
0.077098,0.002440
0.051586,0.007177
0.038719,0.002963
0.028704,0.007087
0.099606,0.017752
0.062800,0.015866
0.054879,0.020613
0.203654,0.028050
0.337331,0.002354
0.023493,0.005253
0.072288,0.004457
0.252896,0.001806
0.032438,0.015828
0.067265,0.020732
0.124866,0.005041
0.256290,0.004212
0.033906,0.002498
0.098275,0.001174
0.154133,0.007150
0.265512,0.001542
0.067676,0.029236
0.049937,0.015685
0.172394,0.003714
0.140727,0.002705
0.215418,0.049940
0.111121,0.011162
0.331146,0.030163
0.037523,0.004943
0.087088,0.019371
0.066489,0.001080
0.078733,0.005390
0.209250,0.010554
0.188314,0.008378
0.099523,0.003989
0.231126,0.060081
0.152897,0.009586
0.106663,0.031525
0.115628,0.006110
0.134165,0.001622
0.083977,0.022319
0.136587,0.016775
0.489243,0.009636
0.234830,0.004994
0.047712,0.016345
0.085984,0.001207
0.042903,0.011893
0.088686,0.005064
0.060127,0.004475
0.117254,0.032958
0.311742,0.002381
0.031359,0.013038
0.049426,0.001651
0.267443,0.006945
0.201983,0.136318
0.156775,0.096885
0.173053,0.013622
0.153246,0.007724
0.039835,0.003184
0.299892,0.002049
