beta,gamma
0.048497,0.003221
0.850381,0.004809
0.883391,0.562503
0.208294,0.113992
0.154303,0.029440
0.491270,0.306426
0.061680,0.006038
0.145069,0.023484
0.172591,0.048936
0.072825,0.004670
0.182260,0.017049
0.132804,0.002771
0.383972,0.002710
0.568725,0.005205
0.046421,0.006840
0.301292,0.214511
0.144394,0.011622
0.146224,0.002435
0.090343,0.001362
0.280362,0.009018
0.492848,0.338964
0.124910,0.009729
0.107079,0.009753
0.137277,0.037077
0.129977,0.062599
0.173500,0.148873
0.105131,0.011421
0.333683,0.035746
0.069707,0.004724
0.035415,0.005159
0.088816,0.008656
0.714231,0.499530
0.191875,0.056883
0.148074,0.034035
0.216657,0.004649
0.536144,0.003022
0.860046,0.002454
0.075145,0.027261
0.397257,0.283847
0.168771,0.006688
0.658138,0.015988
0.071161,0.002738
0.032405,0.010182
0.560043,0.460398
0.120895,0.002099
0.627487,0.016938
0.256595,0.001250
0.324428,0.013441
0.192003,0.008741
0.029886,0.006344
0.642240,0.004069
0.143994,0.002701
0.141612,0.006850
0.165164,0.010036
0.589720,0.095445
0.487950,0.237893
0.244156,0.153261
0.094176,0.057158
0.146453,0.011715
0.091522,0.029047
0.871926,0.023084
0.047257,0.020794
0.215992,0.125229
0.336104,0.161790
0.536306,0.427608
0.184748,0.011328
0.370646,0.001882
0.183949,0.003833
0.327557,0.086538
0.424037,0.110124
0.273879,0.001398
0.271810,0.011464
0.442455,0.061430
0.917908,0.142488
0.293857,0.001878
0.099446,0.005722
0.629626,0.001331
0.078124,0.002054
0.038342,0.012767
0.403762,0.064864
0.606625,0.004665
0.363657,0.016108
0.154698,0.094163
0.137690,0.018078
0.254435,0.025383
0.740766,0.266782
1.038059,0.015224
0.192934,0.011610
0.319641,0.003364
0.196662,0.008648
0.227564,0.004969
0.052821,0.014494
0.057960,0.007083
0.306354,0.029444
0.119405,0.003240
0.172001,0.079318
0.171072,0.097384
0.210040,0.119347
0.053227,0.015732
1.053770,0.005382
0.807620,0.039043
0.385251,0.037992
0.196252,0.078122
0.986722,0.013225
0.111960,0.051468
0.330678,0.002185
0.170180,0.049706
0.605637,0.389918
0.140583,0.009099
0.148556,0.034330
0.272076,0.002263
0.200770,0.014620
0.115676,0.013095
0.220150,0.001884
0.305100,0.004028
0.258084,0.153006
0.190186,0.055577
0.431365,0.112436
0.077496,0.001598
0.098629,0.001407
0.064729,0.002228
0.097487,0.004435
0.110151,0.024227
1.124596,0.104775
0.349900,0.048855
0.125100,0.004040
0.391494,0.111745
0.168471,0.030342
0.636588,0.084259
0.256959,0.224380
0.065119,0.001717
0.282245,0.001635
0.262812,0.148086
0.152725,0.018856
0.189789,0.020847
0.628735,0.036765
0.152463,0.001621
0.084342,0.003223
0.348383,0.008530
0.259938,0.003098
0.232547,0.003985
0.225682,0.001505
0.223392,0.093441
0.512786,0.108156
0.858766,0.003979
0.237406,0.027407
0.095712,0.001375
0.103818,0.001602
0.162542,0.008776
0.258670,0.002292
0.289395,0.001943
0.178397,0.072623
0.164513,0.043483
0.515947,0.057698
1.532743,0.001855
0.236043,0.002231
0.329970,0.141800
0.218753,0.052544
0.144626,0.006160
1.107648,0.472902
0.129231,0.010329
0.313004,0.011297
0.120033,0.009641
0.558084,0.055022
0.025925,0.012271
0.133113,0.003168
0.106235,0.018422
0.644869,0.077545
0.302510,0.002870
0.093245,0.004415
0.148686,0.010887
0.409744,0.016723
0.072735,0.002163
0.480944,0.002339
0.084080,0.036597
0.147049,0.007486
0.622529,0.452516
0.185984,0.090859
0.405840,0.134743
0.512650,0.157045
0.061639,0.003975
0.142521,0.002027
0.303779,0.006825
0.102036,0.009361
0.347109,0.008571
0.325688,0.003495
0.139321,0.001354
0.176377,0.008154
0.128227,0.014249
0.051664,0.002805
0.259555,0.001360
0.165570,0.024269
0.618114,0.146921
0.338376,0.004090
0.032698,0.004849
0.170547,0.009233
0.572285,0.009224
0.390612,0.283210
0.258379,0.013501
0.049919,0.022493
0.083282,0.038654
1.351881,0.066186
0.122345,0.014003
0.174503,0.010917
0.340473,0.006470
0.129302,0.043681
0.341864,0.050663
0.434812,0.246132
0.222630,0.002395
0.150189,0.027921
0.190834,0.031896
0.228307,0.002887
0.436392,0.012059
0.061368,0.003240
0.072188,0.003487
0.124452,0.015375
0.109077,0.023586
0.201112,0.022718
0.274410,0.001605
0.249052,0.027167
0.132334,0.003123
0.069137,0.030327
0.577433,0.001866
0.219665,0.028690
0.129661,0.002636
0.065535,0.009979
0.134487,0.002198
0.200300,0.063251
0.116179,0.002759
0.380668,0.003040
0.142137,0.010103
0.565032,0.029825
0.105052,0.002349
0.125195,0.010885
0.268612,0.002823
0.144713,0.115842
0.095522,0.007510
0.040439,0.019288
0.073126,0.005355
0.060707,0.004037
0.197208,0.039921
0.106623,0.004226
0.487988,0.005216
0.617425,0.482173
0.461881,0.012779
0.981177,0.465331
0.069207,0.002414
0.075093,0.026319
0.210774,0.001309
0.184886,0.020907
0.131150,0.025958
0.595452,0.005672
0.040176,0.007202
0.242976,0.002831
0.109520,0.014291
0.182512,0.002384
0.180063,0.032950
0.644671,0.002063
0.092532,0.017225
0.154574,0.105638
0.415603,0.001685
0.470639,0.044419
0.275257,0.020004
0.290300,0.120156
0.069014,0.007750
0.241190,0.037062
0.329946,0.016730
0.433096,0.092377
0.271220,0.028239
0.373569,0.341607
0.410775,0.008991
0.106689,0.016780
0.053564,0.032434
0.110751,0.006743
0.316493,0.007213
0.092946,0.018247
0.223718,0.011758
0.051817,0.025868
0.669871,0.003988
0.439981,0.006845
0.420157,0.001501
