beta,gamma,epsilon
0.163011,0.016180,8.482278
0.102845,0.004544,10.050933
0.082202,0.013090,3.310205
0.236480,0.013204,9.591049
0.093493,0.004679,9.792549
0.111408,0.014462,3.749252
0.117285,0.012077,1.907560
0.105559,0.031877,8.925053
0.092209,0.016975,5.569496
0.132965,0.024838,7.537713
0.084107,0.024303,7.748423
0.137843,0.013634,5.361869
0.075932,0.017365,5.628650
0.116930,0.026366,7.782540
0.082524,0.023743,8.319403
0.128258,0.021246,8.808847
0.158682,0.024517,9.111223
0.123958,0.016697,5.931220
0.120120,0.008340,3.149612
0.117642,0.031495,8.813420
0.097213,0.008386,4.699727
0.088098,0.021709,6.531752
0.117849,0.039570,9.813172
0.216924,0.009848,8.774832
0.087428,0.031683,9.195021
0.136345,0.009875,4.485832
0.103867,0.034016,9.778437
0.187181,0.011162,6.983779
0.153278,0.005972,7.421420
0.114039,0.010331,0.989505
0.246994,0.008011,8.653449
0.139591,0.005385,7.396969
0.119583,0.023228,6.936185
0.129382,0.005431,9.157971
0.117561,0.023318,7.184512
0.106754,0.031712,8.598547
0.235054,0.008589,7.871262
0.111439,0.012285,2.703998
0.270986,0.008096,9.492690
0.074032,0.024564,9.122867
0.075953,0.013772,4.503412
0.087791,0.009367,1.741309
0.091319,0.022522,6.960524
0.127595,0.018003,6.934159
0.127489,0.018069,5.796552
0.075781,0.006578,7.580019
0.101545,0.014836,3.699175
0.089464,0.012232,2.473062
0.088726,0.005646,7.814628
0.093361,0.026785,8.147752
0.071150,0.019619,8.749994
0.090221,0.025109,7.491216
0.117841,0.023327,7.000742
0.102190,0.036569,9.490853
0.073216,0.005214,9.537045
0.091389,0.034307,9.832015
0.091469,0.013155,2.720098
0.135189,0.009345,3.701452
0.135858,0.009517,4.731743
0.112782,0.005981,5.965117
0.146252,0.009751,4.636979
0.074437,0.014594,7.787723
0.097382,0.015202,3.889798
0.169604,0.017777,8.718327
0.116753,0.018548,5.977941
0.170349,0.009923,6.797940
0.203440,0.009387,7.706279
0.204939,0.010955,8.763147
0.084577,0.012209,5.137136
0.115085,0.031924,8.438168
0.071467,0.020392,7.912660
0.157010,0.010692,5.408977
0.130817,0.025684,7.419733
0.158169,0.029228,9.541182
0.084319,0.015801,5.688408
0.088452,0.011638,2.919133
0.106382,0.022384,6.759788
0.132478,0.015539,5.652984
0.150976,0.021754,9.881884
0.166186,0.016194,9.098593
0.078302,0.028270,10.017556
0.200173,0.008463,7.540133
0.124535,0.031732,8.405258
0.126088,0.018775,6.688341
0.087514,0.010738,2.510440
0.153739,0.024513,8.330405
0.119648,0.018978,5.955034
0.196014,0.007732,7.576960
0.139828,0.023961,9.177849
0.114469,0.021501,6.802979
0.115194,0.027172,8.089418
0.108734,0.015090,4.091736
0.118832,0.027307,7.520390
0.143250,0.041623,10.118120
0.125861,0.034299,8.678234
0.118551,0.039396,9.843952
0.118016,0.019705,5.943970
0.122145,0.014550,3.980972
0.232947,0.009161,9.198574
0.125152,0.041561,9.733580
0.114258,0.012929,2.602422
0.113462,0.021913,6.386485
0.115950,0.028524,8.744187
0.120074,0.020022,5.941805
0.122568,0.039930,9.893258
0.110072,0.029636,8.189445
0.103832,0.026169,8.033052
0.090967,0.007611,4.122940
0.122247,0.031544,8.497799
0.162601,0.015916,8.693435
0.080222,0.016895,5.525524
0.172813,0.007220,5.916426
0.125177,0.040683,10.038627
0.125745,0.038619,9.646070
0.093872,0.005914,6.204918
0.125911,0.008107,3.683918
0.114733,0.029660,7.899655
0.075375,0.012633,4.316456
0.129977,0.009845,3.499146
0.061969,0.020449,9.868509
0.110289,0.038432,9.589346
0.089161,0.015403,4.990274
0.083730,0.026206,8.479676
0.108648,0.006852,5.094512
0.093342,0.015580,4.701984
0.183568,0.021736,10.196974
0.172260,0.015996,9.076980
0.101027,0.018169,4.676775
0.087404,0.013045,5.591687
0.159683,0.009807,6.636165
0.125318,0.021601,8.603323
0.106135,0.009918,2.936170
0.126096,0.016654,6.224880
0.077224,0.013823,5.507038
0.074425,0.008637,6.940009
0.094287,0.008733,4.240693
0.120143,0.026830,7.821820
0.094285,0.016669,5.910167
0.120635,0.036931,9.627542
0.189645,0.016205,9.904411
0.080028,0.011995,3.997701
0.107895,0.037289,9.386868
0.103820,0.026066,8.580658
0.090400,0.022078,7.115262
0.192302,0.009651,7.274769
0.115149,0.022510,7.365025
0.164990,0.017939,9.123966
0.081098,0.010118,2.699046
0.185759,0.009693,6.893713
0.105676,0.032484,9.101210
0.102592,0.029545,8.101172
0.098949,0.018209,5.297097
0.084243,0.013017,2.717800
0.178722,0.009807,7.199304
0.126541,0.012304,2.267863
0.144187,0.020652,10.199840
0.097916,0.024171,7.636129
0.094994,0.026612,8.119400
0.158356,0.012619,8.205545
0.091014,0.025099,7.688525
0.135661,0.014638,6.133922
0.084580,0.029767,8.567084
0.135879,0.043414,10.018016
0.140630,0.019661,8.649264
0.066827,0.011937,8.927007
0.086373,0.022773,8.240736
0.081507,0.024165,7.604411
0.119561,0.028526,8.045225
0.145961,0.013295,7.000488
0.109544,0.022196,6.525868
0.102919,0.022830,6.651205
0.086428,0.020560,6.853467
0.135346,0.026138,7.413257
0.114292,0.022829,7.801499
0.141996,0.027285,9.654194
0.103453,0.029959,8.729710
0.106637,0.015901,4.446992
0.167893,0.015737,8.967772
0.202366,0.006772,8.464917
0.132494,0.006243,6.530072
0.089548,0.006139,6.437230
0.056832,0.010230,8.666820
0.185451,0.012664,8.856714
0.082162,0.031150,10.151806
0.113780,0.019923,5.859867
0.121627,0.029308,8.038018
0.099779,0.033606,9.173478
0.109193,0.023961,7.731625
0.143956,0.030440,9.681536
0.117130,0.015958,5.519004
0.188251,0.010706,7.488532
0.087657,0.019195,6.659226
0.143564,0.042451,9.947292
0.147170,0.014432,6.476650
0.154304,0.016687,8.805425
0.111989,0.016655,4.334113
0.087593,0.021407,7.376084
0.122560,0.017180,6.107200
0.144682,0.022590,9.099366
0.094111,0.024291,7.469099
0.137066,0.034690,9.194431
0.134759,0.035458,8.775598
0.123715,0.028208,7.410142
0.092596,0.015272,4.512027
0.094520,0.009145,2.375371
0.110053,0.023399,7.485351
0.229774,0.008046,8.591731
0.160952,0.024132,10.156930
0.096115,0.012525,4.638058
0.129590,0.015918,6.546449
0.165634,0.037399,10.142225
0.089810,0.027919,8.484484
0.105064,0.034365,9.024272
0.114906,0.012359,2.499382
0.089552,0.007852,4.631560
0.110048,0.022501,6.606028
0.155269,0.037160,9.744082
0.115613,0.032664,8.967397
0.091073,0.024706,7.796275
0.109982,0.033235,8.673179
0.151742,0.007429,4.713307
0.165733,0.009146,4.948901
0.152151,0.031507,10.138860
0.103325,0.028249,8.223123
0.077776,0.019863,6.674624
0.142675,0.037193,10.028605
0.170460,0.016687,9.501372
0.076459,0.012650,5.644966
