beta,gamma,epsilon
0.063513,0.027921,12.801884
0.379658,0.014505,13.235694
0.093749,0.010336,1.486265
0.085641,0.015121,5.235832
0.128415,0.042320,9.820243
0.201284,0.022606,12.028697
0.263517,0.008257,9.095487
0.156873,0.008756,5.867299
0.086585,0.007655,4.664155
0.115170,0.035833,10.176931
0.238077,0.011544,9.998659
0.168788,0.008657,6.385041
0.263958,0.004584,12.780367
0.271676,0.011215,10.894727
0.115708,0.023636,7.431898
0.082075,0.018587,6.812876
0.054316,0.019925,13.057013
0.224188,0.013178,10.771360
0.329395,0.024192,15.819779
0.111732,0.027346,7.701831
0.119575,0.014424,4.643855
0.193996,0.020756,11.446223
0.051642,0.015886,15.098076
0.102460,0.019814,5.954730
0.075826,0.003731,14.476915
0.242545,0.009931,8.771243
0.235798,0.010065,9.000795
0.328302,0.010383,10.400556
0.207140,0.010692,8.305875
0.416290,0.018205,15.046949
0.099488,0.006427,6.245685
0.079488,0.005881,12.087936
0.076239,0.028974,12.098643
0.517673,0.008950,11.946756
0.084475,0.017789,6.776687
0.062720,0.005532,12.189834
0.089401,0.007870,4.365886
0.156906,0.018603,8.570676
0.237920,0.026552,14.617723
0.104812,0.003054,15.005812
0.127450,0.008270,2.888023
0.221581,0.008070,7.616997
0.072919,0.006033,12.072126
0.267579,0.012995,10.812014
0.096339,0.010077,2.314206
0.155885,0.012195,5.409254
0.399019,0.019596,15.324855
0.154956,0.022146,10.094743
0.059694,0.020717,11.660448
0.226789,0.020067,13.136202
0.152797,0.018590,8.803055
0.228005,0.008325,7.996846
0.184278,0.006429,8.933076
0.058264,0.004050,16.217171
0.070198,0.022747,9.367741
0.070699,0.019827,8.095756
0.044159,0.012810,16.618891
0.135464,0.004532,10.688723
0.099284,0.009532,2.689724
0.170228,0.032603,10.196338
0.117108,0.033305,8.741853
0.213453,0.005046,12.123186
0.066986,0.025387,11.142375
0.126931,0.015866,4.882892
0.132597,0.009962,4.077512
0.082904,0.022619,7.239257
0.086726,0.019240,7.525545
0.205957,0.009920,7.320657
0.117472,0.003370,14.338318
0.067167,0.027589,11.698000
0.098790,0.027122,8.063885
0.071066,0.014311,5.745553
0.251519,0.018870,13.624741
0.125342,0.012381,3.553980
0.129286,0.009237,3.415663
0.084839,0.006911,5.893462
0.103378,0.026666,7.413094
0.104797,0.023190,6.890406
0.103529,0.032736,9.263531
0.179545,0.003358,15.653706
0.059570,0.020483,15.414497
0.201699,0.014187,8.722137
0.115652,0.012207,2.006084
0.139907,0.012555,4.682143
0.088442,0.009845,1.646762
0.246826,0.020399,13.245978
0.109703,0.014349,3.788722
0.194409,0.016551,9.393770
0.123632,0.004159,11.188872
0.061079,0.011241,7.339116
0.139523,0.023196,8.509034
0.072515,0.026853,10.547586
0.130730,0.014233,5.598617
0.078155,0.021836,7.380262
0.060299,0.012459,9.166715
0.070896,0.027339,12.738933
0.083810,0.009886,3.292844
0.073357,0.004900,12.448202
0.254818,0.023544,14.378940
0.049369,0.008275,16.263878
0.047955,0.010966,14.404844
0.091953,0.020910,6.280712
0.098901,0.009682,0.851626
0.174859,0.026720,12.373203
0.142732,0.032454,11.044655
0.142856,0.010739,4.611283
0.193373,0.011897,8.004239
0.230294,0.007989,7.765132
0.075742,0.020189,8.132105
0.207535,0.023356,13.114061
0.102975,0.002903,15.777491
0.134259,0.026535,10.006928
0.263449,0.092588,15.560620
0.057731,0.008237,11.764805
0.203531,0.039989,14.865516
0.240073,0.030899,14.984510
0.071022,0.007802,7.722909
0.152692,0.027542,9.423995
0.089050,0.013742,3.878901
0.058106,0.010817,13.365825
0.270535,0.007618,9.261398
0.082890,0.038575,11.550247
0.107694,0.026639,7.656567
0.266481,0.004484,12.945429
0.213021,0.018605,11.439331
0.077689,0.009200,6.095002
0.065583,0.008912,8.548942
0.123378,0.014063,4.829822
0.124045,0.021821,6.605597
0.062345,0.017025,8.885291
0.154389,0.006409,6.974460
0.257068,0.011349,10.743242
0.202768,0.029529,12.942862
0.115198,0.007947,2.863411
0.047346,0.011007,15.608587
0.050401,0.005819,14.983906
0.093840,0.024574,8.013789
0.155869,0.016720,9.135999
0.056303,0.016508,14.261832
0.099405,0.024789,7.574715
0.320014,0.012726,12.463624
0.096444,0.008690,2.352757
0.108615,0.011254,1.569620
0.061991,0.013191,8.566715
0.071187,0.007837,11.115643
0.074464,0.028669,10.282449
0.155825,0.014117,7.849129
0.286466,0.028859,15.974064
