beta,gamma,epsilon
0.044174,0.014389,18.678077
0.291363,0.004233,13.924603
0.122370,0.010263,2.471800
0.396491,0.020804,15.846790
0.081183,0.009274,4.168650
0.145712,0.017701,7.749905
0.058682,0.010137,12.458702
0.346958,0.002452,22.062962
0.200350,0.009201,8.070686
0.067226,0.024488,9.459691
0.055687,0.020449,15.088423
0.057613,0.009873,12.119346
0.122579,0.013644,3.690247
0.094729,0.011572,1.868310
0.040260,0.018598,19.159533
0.053416,0.020663,16.830833
0.063276,0.006157,11.558808
0.046579,0.019592,21.517697
0.292524,0.008032,9.008517
0.055223,0.018932,12.868775
0.189872,0.008694,7.271767
0.326847,0.002346,22.652773
0.253942,0.012803,10.638960
0.109935,0.019679,6.294449
0.232074,0.005986,10.192193
0.244386,0.020787,13.671141
0.064489,0.001606,27.047637
0.316547,0.012832,11.852719
0.097026,0.016940,4.567288
0.106260,0.001992,21.737520
0.029986,0.010942,27.042691
0.077272,0.009269,8.086100
0.085332,0.010930,3.109179
0.082354,0.037813,13.331470
0.353521,0.022040,15.272129
0.303363,0.004247,14.784117
0.095916,0.013121,2.324244
0.155090,0.002828,19.189642
0.124811,0.017025,6.005182
0.171320,0.007421,6.531880
0.138628,0.028100,9.364489
0.287515,0.020409,14.192366
0.176580,0.002088,22.507353
0.098906,0.022338,7.088922
0.027665,0.004193,28.653212
0.083561,0.013661,4.294913
0.112343,0.001012,28.700814
0.048341,0.017689,15.670251
0.060894,0.001882,24.733542
0.050668,0.013381,16.875500
0.067827,0.030759,17.359718
0.300852,0.017331,13.187491
0.095187,0.035077,9.422714
0.111309,0.017285,5.252984
0.169213,0.011577,6.773944
0.027487,0.008374,27.072525
0.095588,0.007064,5.173835
0.042213,0.004361,24.815786
0.050609,0.009508,15.064773
0.106562,0.026457,7.727769
0.172542,0.004048,13.131902
0.119391,0.004593,9.405732
0.114911,0.017228,5.103478
0.047545,0.022624,23.228834
0.069286,0.014465,9.831517
0.168423,0.010621,6.375621
0.028749,0.013722,27.232552
0.189218,0.020921,11.002597
0.074946,0.006464,8.298300
0.347933,0.015760,13.299265
0.238428,0.002588,20.446615
0.274810,0.006174,10.313074
0.161364,0.021395,9.270972
