beta,gamma,epsilon
0.155173,0.011034,5.880190
0.125062,0.014734,6.350521
0.082588,0.020643,6.727747
0.122339,0.015977,5.705002
0.090753,0.006299,5.849563
0.119830,0.015588,5.433167
0.132946,0.007048,4.656457
0.092831,0.009476,1.635342
0.120636,0.016471,5.300068
0.079365,0.017992,6.604082
0.123704,0.014506,4.824866
0.133599,0.014760,6.558580
0.098174,0.019741,6.766418
0.090225,0.011954,1.823265
0.116708,0.007882,3.087844
0.156456,0.011986,6.565411
0.129146,0.011179,1.567381
0.126361,0.013932,5.360934
0.150412,0.007708,5.251945
0.130912,0.013067,4.491521
0.105759,0.009649,1.185455
0.161972,0.007209,5.754168
0.100180,0.008233,2.904693
0.106585,0.015142,4.265145
0.115405,0.021616,6.442708
0.120252,0.006598,4.739328
0.089041,0.011846,3.249831
0.112018,0.021793,6.780442
0.127279,0.010076,1.459422
0.154312,0.013994,6.580635
0.108978,0.016225,4.384257
0.104032,0.019867,5.883157
0.085902,0.016904,6.275788
0.096072,0.019558,6.207449
0.109377,0.008919,1.671509
0.128264,0.017447,5.054852
0.100182,0.013789,3.608778
0.107609,0.014528,3.702229
0.126943,0.013364,5.452439
0.099985,0.019816,6.330564
0.136402,0.015076,4.056769
0.109470,0.013498,2.933483
0.116621,0.014884,5.077619
0.098837,0.006901,4.228110
0.141742,0.015756,6.508911
0.122126,0.010855,3.719387
0.091498,0.007675,6.066366
0.095145,0.006361,5.368584
0.106422,0.011343,1.851196
0.083223,0.017536,5.270586
0.124208,0.014959,5.377703
0.109000,0.013633,3.095807
0.097006,0.009006,2.198777
0.106549,0.017825,5.182178
0.099124,0.018394,5.803020
0.104215,0.011785,1.826837
0.104361,0.016579,5.235225
0.085492,0.012631,3.177220
0.128889,0.024356,6.785906
0.098309,0.012360,2.429428
0.154768,0.006167,6.730901
0.115715,0.008793,2.013533
0.140506,0.011864,5.826815
0.122529,0.009762,1.990247
0.107975,0.015011,3.743378
0.104248,0.007832,3.066901
0.181848,0.007902,6.071874
0.130627,0.011476,3.389604
0.108800,0.020421,6.371022
0.077337,0.014504,3.882863
0.130823,0.021850,6.716227
0.090769,0.016299,6.355522
0.107959,0.010758,1.094040
0.111859,0.015404,3.637571
0.103741,0.015044,3.856327
0.103391,0.019044,5.513058
0.103510,0.008871,2.201489
0.130119,0.008918,2.616808
0.119346,0.018692,5.907475
0.128304,0.018187,5.509941
0.145351,0.006337,6.375932
0.104395,0.010177,0.797686
0.112852,0.021888,6.083462
0.092142,0.011894,2.328704
0.116746,0.014487,4.384924
0.137445,0.009764,4.251134
0.119807,0.012912,3.067499
0.128258,0.010489,2.816363
0.091253,0.010856,2.082011
0.120659,0.011739,4.950797
0.141971,0.012916,6.379945
0.093698,0.018886,5.563447
0.129941,0.009787,1.615613
0.116835,0.023134,6.799048
0.084283,0.011326,3.578239
0.084916,0.008782,2.517427
0.097277,0.009617,2.586164
0.136516,0.012763,5.363364
0.141970,0.019763,6.602773
0.114971,0.015093,4.950170
0.098245,0.011138,2.087594
0.128050,0.016231,4.848989
0.105239,0.016744,4.803016
0.096088,0.017107,5.957626
0.096015,0.018410,6.028482
0.098203,0.013387,3.338015
0.125454,0.007567,3.801646
0.132038,0.006874,5.647476
0.181977,0.007439,6.246530
0.095755,0.007437,4.759751
0.125944,0.008543,2.765299
0.127504,0.014705,4.312567
0.088697,0.009129,2.162672
0.121102,0.021543,6.085811
0.146353,0.014712,6.225773
0.166431,0.010160,5.033559
0.089039,0.007237,4.559646
0.105432,0.012897,3.204043
0.118248,0.021179,6.133406
0.121020,0.011267,2.755240
0.153178,0.014960,6.701713
0.114400,0.016067,4.521547
0.095597,0.016390,5.125397
0.076015,0.009291,6.080825
0.117982,0.013713,4.551389
0.109105,0.021774,6.572434
0.085542,0.009464,4.703291
0.096445,0.006721,5.272759
0.095530,0.005655,6.356347
0.119152,0.013462,4.431112
0.103472,0.018851,5.019722
0.124203,0.017196,5.181593
0.091693,0.012819,3.082902
0.075456,0.014772,6.439929
0.117367,0.015911,5.256318
0.119797,0.020885,6.698650
0.110944,0.011757,1.394827
0.095197,0.019011,6.090845
0.082192,0.019134,6.609298
0.111466,0.016384,4.502150
0.082754,0.018274,6.321066
0.090960,0.009680,2.554639
0.112497,0.016743,4.221933
0.100802,0.009355,1.217809
0.151188,0.008409,4.981199
0.131467,0.015579,5.462738
0.116440,0.017268,4.957310
0.118523,0.024005,6.841421
0.112506,0.017040,5.516249
0.084533,0.020942,6.607114
0.142553,0.014577,6.166320
