beta,gamma,epsilon
0.125443,0.021094,6.949193
0.081894,0.013969,3.255085
0.120424,0.023700,7.379883
0.091379,0.011660,3.151553
0.092340,0.018976,5.499392
0.079067,0.015422,4.782465
0.124959,0.012557,4.364218
0.110378,0.019593,5.973959
0.108848,0.015405,3.529596
0.071325,0.019218,7.750536
0.124882,0.022311,6.620768
0.097097,0.015523,4.009993
0.126027,0.019639,6.897972
0.106254,0.022321,6.595737
0.112681,0.024912,7.400086
0.113965,0.014930,5.141241
0.108167,0.021942,6.346590
0.081391,0.017966,6.124122
0.134313,0.014574,7.705682
0.090026,0.016054,6.361961
0.145470,0.007680,4.534479
0.103780,0.017599,5.516409
0.129501,0.011161,3.847042
0.100677,0.010213,1.085976
0.094849,0.014051,3.673155
0.121905,0.019331,7.204301
0.100962,0.010516,1.271633
0.119946,0.023268,6.886565
0.089718,0.009618,2.737590
0.132347,0.014585,4.786840
0.096919,0.014343,4.170052
0.170744,0.010700,5.514224
0.102749,0.017702,5.128138
0.139699,0.007200,5.045077
0.087856,0.020748,6.544002
0.077833,0.016216,5.405277
0.097029,0.017296,5.063974
0.108073,0.013487,2.814549
0.071247,0.017364,7.447779
0.117005,0.006004,6.531504
0.107198,0.022962,7.172943
0.115236,0.025069,7.101158
0.167359,0.009046,6.133812
0.080454,0.017133,6.017040
0.168128,0.012020,6.862710
0.144562,0.011175,5.977618
0.152032,0.015477,7.483260
0.091159,0.014390,3.470343
0.098133,0.013182,2.754777
0.116684,0.015313,4.138814
0.085656,0.020370,6.353317
0.116468,0.026338,7.618690
0.139642,0.009689,5.108087
0.156360,0.008031,6.020933
0.121298,0.016106,4.933890
0.129048,0.009146,4.291887
0.097648,0.018382,5.421442
0.129320,0.007939,4.095336
0.109762,0.016014,4.769441
0.113263,0.015118,3.783530
0.095682,0.011096,1.247243
0.097493,0.022932,7.190291
0.100409,0.013298,4.155771
0.116508,0.022778,6.628053
0.141931,0.006432,7.049868
0.149280,0.009988,4.888323
0.134212,0.016811,6.366462
0.138476,0.010231,4.481392
0.102983,0.017223,4.934838
0.107579,0.024640,7.216151
0.094496,0.015069,4.612339
0.094139,0.020583,6.731335
0.130463,0.012891,3.568926
0.117881,0.016652,6.316010
0.135736,0.008257,3.470462
0.115902,0.020439,7.380956
0.080651,0.022336,7.304725
0.083304,0.020925,7.557487
0.076592,0.009757,6.279718
0.088068,0.010808,1.997005
0.116992,0.023408,7.033641
0.120813,0.015404,4.136488
0.095358,0.019746,6.752859
0.121332,0.018980,5.758834
0.129176,0.009842,3.135578
0.127907,0.013562,3.808064
0.105620,0.015742,3.617739
0.153228,0.016976,6.927579
0.126160,0.010530,3.208847
0.088616,0.021157,6.703217
0.143901,0.007250,4.831020
0.092614,0.014499,4.018493
0.101753,0.016675,4.631950
0.117595,0.014865,4.818601
0.081131,0.007752,5.542788
0.085628,0.025338,7.526351
0.140961,0.010762,4.339854
0.092668,0.010474,3.694779
0.087968,0.017550,5.638092
0.109343,0.021299,6.994381
0.165885,0.014408,7.820688
0.121405,0.009999,2.669346
0.168490,0.013733,7.602807
0.119967,0.027473,7.635532
0.073532,0.009968,6.538540
0.121458,0.025431,7.747781
0.097672,0.011765,2.209863
0.118932,0.008161,3.082062
0.113124,0.019070,5.777255
0.111377,0.027039,7.796535
0.107506,0.010015,1.825294
0.076454,0.012448,6.347133
0.135921,0.015714,7.283299
0.085921,0.010968,1.894157
0.106565,0.024751,7.626962
0.150006,0.006046,7.667528
0.095182,0.023066,7.351325
0.120001,0.020557,6.118293
0.079620,0.023653,7.573757
0.125435,0.022199,7.569500
0.107858,0.025728,7.788520
0.080673,0.009516,5.953818
0.121614,0.017664,6.162668
0.107532,0.015104,3.994410
0.100784,0.016717,4.643793
0.107705,0.010292,1.897299
0.117696,0.027656,7.560768
0.128211,0.020633,7.372014
0.087423,0.017918,5.211320
0.131754,0.012459,3.266376
0.094110,0.020165,6.323279
0.111649,0.007162,3.694124
0.096613,0.020898,7.467409
0.102409,0.012119,2.415710
0.119729,0.016911,5.083356
0.095991,0.018626,6.220195
0.101745,0.024704,7.529173
0.101796,0.018034,6.115844
0.089388,0.022036,6.523071
0.130475,0.018783,6.275812
0.129214,0.022254,6.957634
0.100637,0.005930,6.937162
0.116523,0.011488,2.800792
0.185768,0.011207,7.663370
0.102230,0.022919,6.211893
0.110349,0.019037,5.650997
0.095794,0.016821,4.695013
0.121002,0.025974,7.591829
0.101627,0.020978,6.258086
0.151353,0.008766,2.614091
0.110653,0.018763,5.282278
0.080177,0.009903,5.119985
0.116473,0.007580,3.654372
0.172779,0.006780,7.590422
0.103166,0.024522,7.152191
0.099182,0.016604,4.230648
0.120650,0.025616,6.966628
0.121258,0.022191,7.220713
0.078601,0.011780,5.146629
0.151214,0.010846,5.165144
0.183710,0.008649,6.418805
0.124193,0.012317,3.117197
0.113566,0.020358,5.952001
0.165679,0.008976,5.000477
0.132549,0.008137,3.990733
0.082925,0.016207,5.553901
0.118692,0.013894,3.920833
0.079691,0.007414,7.831645
0.118404,0.006030,5.854739
0.129762,0.019605,6.025860
0.128651,0.022756,7.483285
0.117324,0.010637,1.664898
0.095585,0.008318,3.546320
0.162014,0.012959,6.595842
0.087552,0.005594,7.758047
0.096511,0.020934,6.610998
0.122143,0.007134,4.493858
0.095452,0.025273,7.526372
0.107152,0.009256,1.468696
0.094501,0.021018,6.795730
0.105539,0.011169,0.941544
0.112374,0.022937,7.105595
0.099188,0.016724,5.187517
0.097008,0.017702,5.052714
0.100829,0.018327,5.705774
0.088776,0.021009,6.809188
0.116379,0.010131,2.698936
0.127991,0.009294,2.652115
0.119048,0.010701,2.811788
0.108536,0.017599,5.394261
0.064026,0.010192,7.612570
0.084262,0.016261,5.111995
0.123949,0.006876,5.237027
0.149486,0.006399,7.039802
0.094625,0.008408,2.654539
0.089217,0.017300,5.139239
0.072903,0.012040,5.204442
0.111253,0.023406,6.951668
0.085683,0.018559,5.926257
0.109079,0.021244,6.146462
0.094313,0.024345,6.967694
0.090281,0.007580,5.133861
0.120459,0.007249,4.294546
0.120567,0.019475,6.342079
0.126382,0.008218,3.432787
0.128962,0.007234,4.620312
0.092894,0.024299,7.346132
0.139992,0.013862,7.425398
0.189404,0.010721,7.607849
0.130136,0.020698,6.240139
0.110793,0.013380,3.789187
0.116995,0.008693,2.690756
0.135376,0.025733,7.437213
0.128509,0.026379,7.480030
0.141485,0.006542,6.496128
0.095185,0.024826,7.238590
0.108037,0.015140,3.734405
0.099204,0.010164,2.445986
0.113584,0.025905,7.341136
