beta,gamma,epsilon
0.128884,0.042463,9.896903
0.172607,0.028845,11.135091
0.227890,0.008693,8.168124
0.192452,0.007170,7.743651
0.102824,0.023685,7.272230
0.174738,0.025265,12.113260
0.134802,0.028066,9.725758
0.113648,0.010453,1.770032
0.064454,0.025299,12.373066
0.176792,0.026963,11.560634
0.063081,0.019705,10.565517
0.160014,0.007774,4.719864
0.123303,0.034105,9.154687
0.090083,0.022820,10.938871
0.130090,0.033815,8.721472
0.114694,0.019626,5.758445
0.088906,0.033985,9.568660
0.091720,0.024929,8.464795
0.086900,0.004575,10.886616
0.256949,0.016005,12.072270
0.111718,0.028165,8.286912
0.092456,0.025468,7.633252
0.062916,0.018381,9.153995
0.182458,0.019375,11.533803
0.210649,0.011953,8.347468
0.161162,0.014171,7.730126
0.064502,0.014302,10.258353
0.099497,0.029841,8.931036
0.077782,0.014544,7.453228
0.153792,0.015540,6.977874
0.164432,0.036995,11.555503
0.113376,0.006916,4.777957
0.086597,0.028593,8.877467
0.085741,0.018810,6.098004
0.058462,0.020152,11.918855
0.163054,0.028835,11.560602
0.097598,0.019765,6.031320
0.163292,0.044126,11.363103
0.155444,0.029832,10.850081
0.373035,0.005933,10.573172
0.269394,0.010801,9.715448
0.176847,0.016612,8.940607
0.304477,0.006031,10.589408
0.332349,0.008688,10.072423
0.132725,0.034681,9.187642
0.146044,0.020090,7.696842
0.121561,0.009608,1.506947
0.225656,0.007912,7.907421
0.211465,0.020989,11.871164
0.294145,0.005658,11.363489
0.122950,0.038410,9.569120
0.116705,0.009377,1.501414
0.096999,0.016542,4.847361
0.154749,0.017143,9.239646
0.126045,0.028114,8.770411
0.103897,0.022643,6.811032
0.083289,0.023166,8.318558
0.122589,0.016208,4.224626
0.082541,0.026809,8.421361
0.183913,0.049038,11.826450
0.073634,0.023116,7.625634
0.057757,0.006493,11.633160
0.482751,0.010473,12.086814
0.184258,0.018853,10.252456
0.080170,0.018184,7.041237
0.187570,0.021874,10.961527
0.094101,0.032947,9.477389
0.149000,0.023901,9.188837
0.126586,0.005950,6.650638
0.080860,0.024838,8.582858
0.193458,0.018854,10.550953
0.058454,0.017139,10.826248
0.106400,0.017697,5.391047
0.225576,0.018064,11.976650
0.098612,0.022144,6.482452
0.139407,0.044523,10.214379
0.148312,0.014640,5.968052
0.093114,0.011663,2.286098
0.088485,0.022501,7.681215
0.092667,0.007460,3.062991
0.155127,0.047737,11.593414
0.109805,0.015495,4.162902
0.174095,0.010190,6.948872
0.138189,0.025037,9.154553
0.112133,0.004301,9.847759
0.141366,0.031379,10.441054
0.129128,0.044910,10.526744
0.109728,0.010044,1.210737
0.107260,0.031538,8.799511
0.112193,0.027718,7.986700
0.146691,0.028544,9.554851
0.181159,0.017180,10.906794
0.065090,0.020356,8.084872
0.189837,0.026177,11.692925
0.086090,0.012730,3.870498
0.212291,0.019900,11.736030
0.098657,0.018919,6.282405
0.233318,0.010757,9.447093
0.175032,0.004615,12.007143
0.249490,0.010907,9.390534
0.107368,0.020100,5.769804
0.114537,0.014258,3.281603
