beta,gamma,epsilon
0.019940,0.007907,39.626268
0.082871,0.003713,15.044966
0.117295,0.017926,6.256727
0.204201,0.000545,36.668656
0.460699,0.690579,47.336735
0.348767,0.003425,17.609647
0.104675,0.001632,24.108757
0.016039,0.008161,43.770338
0.227621,0.000932,31.682015
0.250343,0.021127,13.829356
0.077889,0.006340,10.262452
0.041222,0.022995,26.309676
0.068844,0.000620,36.973250
0.042767,0.017625,23.445362
0.204437,0.004307,12.688536
0.130342,0.000689,32.763476
0.016212,0.003384,40.139268
0.135278,0.029506,9.485224
0.022376,0.011009,34.822809
0.042565,0.008761,19.974883
0.033269,0.005874,23.505520
0.046128,0.001599,29.848698
0.055017,0.005798,16.336653
0.091914,0.000909,29.787067
0.124731,0.006113,7.098775
0.010106,0.006332,44.762595
0.016240,0.008937,41.541862
0.026178,0.008563,34.203716
0.140184,0.004745,9.898269
0.058198,0.006135,12.999781
0.064514,0.007138,9.568636
0.055082,0.006565,12.730810
0.132127,0.001223,28.485588
0.089773,0.013574,3.098298
0.082331,0.007679,6.670167
0.042167,0.002842,25.232014
0.105162,0.000406,34.284469
0.170145,0.000006,43.295630
0.020878,0.014653,42.511920
0.043223,0.013835,16.208776
0.085529,0.006925,6.217335
0.016506,0.006865,38.919596
0.379707,0.022432,15.654992
0.115039,0.014347,3.657638
0.063057,0.006717,11.128695
0.034689,0.003857,24.384239
0.050342,0.018889,17.028779
0.195491,0.007982,7.178802
0.263670,0.008874,8.750493
0.051296,0.000739,36.803599
0.045080,0.014427,17.913423
0.069973,0.007686,6.550039
0.016101,0.008439,41.543199
0.096594,0.005273,7.519852
0.018375,0.011616,41.037673
0.117000,0.003417,13.830057
0.020460,0.010353,36.154694
0.030817,0.017210,28.546825
0.020457,0.005802,34.417903
0.135951,0.001234,28.223605
0.219271,0.019540,12.558149
0.217850,0.005540,10.479346
0.057987,0.011016,12.360817
0.081194,0.016199,5.973725
0.046117,0.018091,23.087300
0.070957,0.013456,6.404003
0.052442,0.017188,11.703164
0.132935,0.008895,3.693530
0.121425,0.013016,4.520373
0.280369,0.010248,11.076941
0.017961,0.009201,37.453883
0.072935,0.008265,5.639179
0.009644,0.002704,46.507504
0.079940,0.008577,5.345120
0.517344,0.003147,18.973484
0.043216,0.008507,18.454147
0.033604,0.003824,28.880485
0.121518,0.012457,3.530317
0.071369,0.000369,36.555821
0.050576,0.017535,13.364512
0.118498,0.000680,32.424146
0.121112,0.001117,28.445335
0.073440,0.009450,4.352556
0.280144,0.001021,31.192792
0.179893,0.002113,22.195770
0.232635,0.004435,12.559220
0.042320,0.015263,19.948046
0.254677,0.004440,13.642787
0.085808,0.016300,6.237307
0.017611,0.006036,38.368154
0.073544,0.016315,9.486206
0.009038,0.004080,46.775540
0.027366,0.002150,33.240501
0.098875,0.007740,3.016805
0.306379,0.068948,16.541154
0.072216,0.014438,8.360121
0.280805,0.007335,9.424624
0.175304,0.008729,6.127774
0.237178,0.011776,10.875513
0.243760,0.017493,12.391624
0.428119,0.000318,41.711588
0.113370,0.016447,5.095363
0.268691,0.003776,15.626106
0.023010,0.011407,35.565821
0.031662,0.013378,32.496275
0.255363,0.018209,12.892349
0.058058,0.021325,14.611173
0.019987,0.002264,39.365066
0.312769,0.008537,9.419177
0.197663,0.003520,15.416389
0.026153,0.001413,40.086742
0.049917,0.006638,13.758642
0.161915,0.008882,5.425419
0.033063,0.005599,24.532012
0.112122,0.003410,13.851380
0.109342,0.014770,3.537008
0.093550,0.027817,8.451399
0.155661,0.002857,18.226782
0.042080,0.022872,31.414498
0.210221,0.001714,25.181755
0.069077,0.018240,8.046457
0.048502,0.001354,32.487056
0.049432,0.003661,21.453728
0.136850,0.008141,2.876914
0.209928,0.005641,9.899448
0.443048,0.002222,23.409403
0.060757,0.003520,17.890506
0.075105,0.012793,7.558798
