beta,gamma,epsilon
0.106635,0.014312,3.245106
0.093980,0.011698,2.285608
0.097706,0.015247,4.090364
0.106045,0.007755,2.538676
0.106637,0.013137,3.219174
0.100894,0.012829,2.789078
0.112271,0.008598,2.127525
0.132175,0.009425,4.385565
0.116669,0.016047,4.968194
0.110194,0.007360,4.306627
0.105033,0.008078,2.810606
0.100086,0.012369,2.762175
0.131076,0.008331,4.034860
0.110233,0.008291,2.712850
0.120162,0.008085,3.323482
0.103669,0.017459,4.544072
0.073991,0.011703,4.129582
0.130258,0.008879,3.378587
0.124780,0.008884,1.344588
0.115979,0.008867,2.088778
0.099616,0.014267,4.050737
0.121499,0.011717,2.670361
0.101538,0.011503,1.538523
0.128974,0.010478,2.971039
0.092909,0.007827,4.965856
0.112589,0.013888,3.577652
0.121111,0.011788,2.249129
0.110554,0.009845,0.760323
0.133792,0.008241,4.258012
0.084146,0.014540,4.401245
0.099965,0.009437,1.264266
0.109205,0.010581,1.502239
0.130560,0.010307,4.616155
0.104749,0.008235,2.125013
0.103646,0.014389,4.445237
0.107394,0.006599,5.119533
0.135729,0.006967,4.826779
0.116323,0.018206,5.057931
0.132087,0.011544,4.650675
0.089932,0.015396,4.588458
0.126246,0.007850,4.058682
0.101727,0.011225,2.306680
0.110266,0.013110,3.936597
0.125636,0.014078,4.909231
0.105321,0.010589,1.057739
0.111150,0.007447,2.952055
0.075415,0.013214,4.911175
0.107879,0.008471,2.182563
0.115154,0.014039,3.654833
0.090624,0.009718,1.022414
0.106669,0.011423,2.412411
0.119870,0.009276,1.685549
0.125737,0.008525,2.796653
0.131968,0.010458,2.939934
0.112078,0.010686,1.218795
0.103010,0.013706,3.751851
0.104828,0.011032,1.675722
0.119327,0.009671,1.303399
0.117959,0.017703,4.635674
0.105757,0.017478,4.900545
0.102866,0.007605,3.345088
0.092350,0.007117,4.004515
0.144091,0.009614,4.617430
0.113316,0.012415,2.281774
0.103183,0.013046,2.460397
0.101349,0.016966,4.670954
0.105750,0.016296,4.394886
0.098314,0.006646,5.045483
0.128097,0.016054,4.756774
0.098045,0.010206,1.575481
0.112429,0.012585,2.690892
0.089200,0.014694,4.246783
0.107694,0.015879,4.823886
0.137257,0.011054,4.602221
0.118033,0.016099,4.284648
0.117315,0.014634,4.056253
0.098607,0.015217,3.926327
0.109778,0.014669,3.974766
0.097321,0.012716,2.467055
0.099328,0.007562,3.982213
0.108229,0.009113,2.045134
0.107605,0.015288,3.591581
0.117837,0.011265,1.401110
0.102408,0.010864,1.561461
0.156610,0.011001,4.633809
0.114683,0.008733,2.108175
0.099801,0.010604,1.923114
0.125760,0.017540,4.944800
0.096054,0.012259,2.884411
0.100296,0.008232,2.695506
0.140818,0.012411,5.047339
0.108679,0.009675,1.029978
0.145544,0.010182,4.751966
0.088188,0.007486,4.978811
0.114134,0.010682,2.239033
0.119122,0.011915,3.553706
0.126106,0.008486,2.365197
0.119650,0.008941,2.298489
0.099955,0.015011,3.828140
0.103063,0.016579,4.559815
0.098614,0.011437,1.138879
0.131711,0.007946,4.057701
0.120798,0.013319,4.055195
0.121991,0.015271,4.459458
0.136589,0.011490,4.095990
0.103473,0.008794,2.852163
0.109395,0.008154,3.474696
0.102949,0.012302,2.380118
0.110355,0.008228,2.563042
