beta,gamma,epsilon
0.155837,0.009151,5.200203
0.089299,0.011340,1.974854
0.120678,0.006083,6.559508
0.110725,0.026021,7.219290
0.113477,0.023896,6.853063
0.103638,0.011648,1.558089
0.105795,0.009510,1.732178
0.149414,0.016435,8.268160
0.100155,0.023101,6.515575
0.111742,0.018356,5.340294
0.075120,0.014387,6.945962
0.125579,0.015847,7.079189
0.079560,0.017058,6.624068
0.104730,0.010800,1.287944
0.116172,0.026369,8.781789
0.102261,0.016358,4.140161
0.191082,0.007526,7.614139
0.110798,0.013923,3.471159
0.074993,0.013581,3.857293
0.079729,0.005890,8.319516
0.121741,0.024425,7.118003
0.118430,0.019153,5.543067
0.167597,0.009592,5.213267
0.104393,0.006046,5.287854
0.129523,0.020836,7.343766
0.143024,0.011056,4.290619
0.094241,0.005823,8.702963
0.110143,0.019173,5.980204
0.127508,0.030168,8.688191
0.115819,0.021215,6.388616
0.110839,0.028081,8.001226
0.120511,0.008295,3.243045
0.078000,0.017540,6.537798
0.115350,0.020452,6.262710
0.148428,0.014265,6.623575
0.119672,0.029914,8.365559
0.128186,0.015911,5.334099
0.096436,0.009018,3.406839
0.131829,0.032760,8.806317
0.116700,0.012356,2.116519
0.082975,0.025504,8.081391
0.131644,0.008407,3.122434
0.105218,0.029203,8.350135
0.180834,0.012311,8.666253
0.070691,0.014859,5.992393
0.130064,0.015974,7.069987
0.144307,0.020868,8.269134
0.117514,0.009327,1.134817
0.074482,0.018681,7.056845
0.127249,0.024993,8.513437
0.155229,0.006337,8.462054
0.090934,0.014119,5.402194
0.170012,0.010272,5.734783
0.087046,0.011422,1.773492
0.079056,0.015688,5.307279
0.109933,0.017859,4.572854
0.100493,0.016433,4.266135
0.115400,0.021548,6.867642
0.127124,0.026301,7.319662
0.106553,0.029925,8.306291
0.089625,0.009781,2.769968
0.135946,0.024978,8.399622
0.125250,0.026925,8.138089
0.112986,0.017496,5.001526
0.099140,0.007942,6.184574
0.086846,0.016572,5.602839
0.067831,0.009011,8.309720
0.091820,0.005906,7.897962
0.091860,0.028571,8.781385
0.135745,0.017495,5.749473
0.090492,0.009577,4.086952
0.090825,0.012723,2.894022
0.107463,0.024231,7.167728
0.091613,0.009936,3.543732
0.149254,0.011860,5.240995
0.108143,0.007697,3.015720
0.121300,0.025180,7.471321
0.182722,0.006351,8.347066
0.079276,0.008551,5.866525
0.136024,0.013932,6.879644
